id;ident;type;name;latitude_deg;longitude_deg;runway_length;runway_type;wikipedia_category;elevation_ft;continent;country_name;iso_country;region_name;iso_region;local_region;municipality;scheduled_service;gps_code;icao_code;iata_code;local_code;home_link;wikipedia_link;keywords;score;last_updated
5072;OAKB;medium_airport;Kabul International Airport;34,565899;69,212303;3511;asphalt;international;5877;AS;Afghanistan;AF;Kabul Province;AF-KAB;KAB;Kabul;1;OAKB;OAKB;KBL;;;https://en.wikipedia.org/wiki/Kabul_International_Airport;Hamid Karzai International Airport, Khwaja Rawash Airport;750;2022-06-19T17:23:16+00:00
5073;OAKN;medium_airport;Ahmad Shah Baba International Airport / Kandahar Airfield;31,5058;65,847801;3200;asphalt;international;3337;AS;Afghanistan;AF;Kandahar Province;AF-KAN;KAN;Khvoshab;1;OAKN;OAKN;KDH;;;https://en.wikipedia.org/wiki/Kandahar_International_Airport;Kandahar International Airport;500;2021-10-29T21:37:36+00:00
5070;OAIX;medium_airport;Bagram Airfield;34,946098;69,264999;3602;asphalt;military;4895;AS;Afghanistan;AF;Parwan Province;AF-PAR;PAR;Bagram;0;OAIX;OAIX;OAI;;;https://en.wikipedia.org/wiki/Bagram_Airfield;Bagram Air Base;250;2021-02-20T16:15:53+00:00
35387;OAZI;small_airport;Camp Shorabak Airfield;31,848735;64,223175;3500;asphalt;militrary;2943;AS;Afghanistan;AF;Helmand Province;AF-HEL;HEL;Lashkar Gah;0;OAZI;OAZI;OAZ;;;https://en.wikipedia.org/wiki/Camp_Shorabak;Camp Bastion, Camp Leatherneck;50;2021-02-20T16:23:56+00:00
5071;OAJL;medium_airport;Jalalabad Airport;34,399799;70,498596;1975;asphalt;major_domestic;1814;AS;Afghanistan;AF;Nangarhar Province;AF-NAN;NAN;Jalalabad;0;OAJL;OAJL;JAA;;;https://en.wikipedia.org/wiki/Jalalabad_Airport;;250;2021-11-02T12:52:06+00:00
32449;OATN;small_airport;Tarinkot Airport;32,604198;65,865799;2225;asphalt;regional_domestic;4429;AS;Afghanistan;AF;Orūzgān Province;AF-URU;URU;Tarinkot;0;OATN;OATN;TII;;;https://en.wikipedia.org/wiki/Tarinkot_Airport;Tarin Kowt;50;2021-02-20T16:19:59+00:00
5069;OAHR;medium_airport;Herat - Khwaja Abdullah Ansari International Airport;34,209999;62,228298;3014;asphalt;international;3206;AS;Afghanistan;AF;Herat Province;AF-HER;HER;Guzara;1;OAHR;OAHR;HEA;;;https://en.wikipedia.org/wiki/Herat_International_Airport;;750;2021-10-29T21:33:09+00:00
5076;OASD;small_airport;Shindand Air Base;33,3913;62,261002;2417;asphalt;military;3773;AS;Afghanistan;AF;Farah Province;AF-FRA;FRA;Shindand;0;OASD;OASD;OAH;;;https://en.wikipedia.org/wiki/Shindand_Air_Base;;50;2021-10-29T21:36:26+00:00
5075;OAMS;medium_airport;Mazar-i-Sharif International Airport;36,706902;67,209702;2998;asphalt;international;1284;AS;Afghanistan;AF;Balkh Province;AF-BAL;BAL;Mazar-i-Sharif;1;OAMS;OAMS;MZR;;;https://en.wikipedia.org/wiki/Mazar-i-Sharif_International_Airport;Mazari Sharif;750;2021-02-20T16:20:52+00:00
5074;OAMN;medium_airport;Maymana Zahiraddin Faryabi Airport;35,930801;64,760902;2000;asphalt;regional_domestic;2743;AS;Afghanistan;AF;Faryab Province;AF-FYB;FYB;Maymana;1;OAMN;OAMN;MMZ;;;https://en.wikipedia.org/wiki/Maymana_Airport;Maimana;500;2024-01-08T16:44:25+00:00
31065;OAFZ;small_airport;Fayzabad Airport;37,122148;70,5201;1844;asphalt;regional_domestic;3872;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Fayzabad;1;OAFZ;OAFZ;FBD;;;https://en.wikipedia.org/wiki/Fayzabad_Airport;;150;2021-02-20T16:30:09+00:00
30739;OABN;small_airport;Bamyan Airport;34,808916;67,816629;2200;asphalt;regional_domestic;8367;AS;Afghanistan;AF;Bamiyan Province;AF-BAM;BAM;Bamyan;0;OABN;OABN;BIN;;;https://en.wikipedia.org/wiki/Bamyan_Airport;Bamiyan;50;2021-02-20T16:32:57+00:00
31044;OAFR;small_airport;Farah Airport;32,366667;62,165347;1836;asphalt;major_domestic;3083;AS;Afghanistan;AF;Farah Province;AF-FRA;FRA;Farah;0;OAFR;OAFR;FAH;;;https://en.wikipedia.org/wiki/Farah_Airport;;50;2024-05-17T08:15:36+00:00
35374;OAGZ;small_airport;Gardez Airport;33,627366;69,237023;1664;asphalt;regional_domestic;7790;AS;Afghanistan;AF;Paktia Province;AF-PIA;PIA;Gardez;0;OAGZ;OAGZ;GRG;;;https://en.wikipedia.org/wiki/Gardez_Airport;;50;2021-10-14T22:16:32+00:00
31849;OAQN;small_airport;Qala-i-Naw Airport;34,985472;63,117404;1999;asphalt;regional_domestic;2999;AS;Afghanistan;AF;Badghis Province;AF-BDG;BDG;Qala-i-Naw;0;OAQN;OAQN;LQN;;;https://en.wikipedia.org/wiki/Qala_i_Naw_Airport;;50;2024-05-17T08:16:28+00:00
332240;OAKS;medium_airport;Khost International Airport;33,284605;69,80734;1859;asphalt;major_domestic;4204;AS;Afghanistan;AF;Khost Province;AF-KHO;KHO;Khost;0;OAKS;OAKS;KHT;;http://web.archive.org/web/20230123103904/http://pajhwok.com/2021/06/03/set-to-open-soon-khost-airport-lacks-global-standards/;https://en.wikipedia.org/wiki/Khost_International_Airport;FOB Chapman;250;2025-02-21T00:05:22+00:00
5078;OAUZ;medium_airport;Kunduz Airport;36,6651;68,910797;1996;asphalt;major_domestic;1457;AS;Afghanistan;AF;Kunduz Province;AF-KDZ;KDZ;Kunduz;0;OAUZ;OAUZ;UND;;;https://en.wikipedia.org/wiki/Kunduz_Airport;Konduz;250;2021-02-20T16:32:00+00:00
30815;OACC;small_airport;Chaghcharan Airport;34,526465;65,27102;2000;asphalt;regional_domestic;7383;AS;Afghanistan;AF;Ghōr Province;AF-GHO;GHO;Chaghcharan;0;OACC;OACC;CCN;;;https://en.wikipedia.org/wiki/Chaghcharan_Airport;Chakcharan;100;2025-02-04T19:54:27+00:00
32739;OAZJ;small_airport;Zaranj Airport;30,972222;61,865833;2500;gravel;regional_domestic;1572;AS;Afghanistan;AF;Nimruz Province;AF-NIM;NIM;Zaranj;0;OAZJ;OAZJ;ZAJ;;;https://en.wikipedia.org/wiki/Zaranj_Airport;;100;2025-02-04T19:58:35+00:00
35352;AF-0001;small_airport;Ajrestan Airport;33,485298;67,144096;840;dirt;small_local;8324;AS;Afghanistan;AF;Orūzgān Province;AF-URU;URU;Ajrestan;0;;;;;;;;50;2021-10-29T21:47:15+00:00
35371;AF-0020;small_airport;Andkhoy Airport;36,942659;65,206746;756;gravel;small_local;900;AS;Afghanistan;AF;Faryab Province;AF-FYB;FYB;Andkhoy;0;OAAK;;;;;;Andkhoi;50;2025-03-10T01:26:14+00:00
301188;OASH;small_airport;Shank Air Base;33,922217;69,07794;2260;asphalt;military;6890;AS;Afghanistan;AF;Logar Province;AF-LOW;LOW;Baraki Barak;0;OASH;OASH;OAA;;;https://en.wikipedia.org/wiki/Forward_Operating_Base_Shank;Camp Dahlke, Camp Maiwand;50;2021-02-22T13:51:18+00:00
35367;AF13;small_airport;Shebartu Landing Zone Airport;34,778601;67,489557;2500;gravel;small_local;10490;AS;Afghanistan;AF;Bamiyan Province;AF-BAM;BAM;Bum-e Shebar;0;;;;;;;Sheber Too;50;2021-02-22T10:12:33+00:00
30877;OADZ;small_airport;Darwaz Airport;38,461798;70,881606;654;gravel;regional_domestic;5250;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Darwaz;0;OADZ;OADZ;DAZ;;;https://en.wikipedia.org/wiki/Darwaz_Airport;;50;2024-03-10T20:05:10+00:00
35353;AF-0002;small_airport;Dehdadi Airport;36,646099;67,032303;2520;dirt;small_local;1378;AS;Afghanistan;AF;Balkh Province;AF-BAL;BAL;Dehdadi;0;;;;;;;Camp Shaheen;50;2021-02-22T08:16:03+00:00
