Name;Affected Individual Factor;Covering Duration (hours);Service Threshold (hours);Vehicle Count;Route Cost Scaling Factor;#Depots;#Facilities;#Unique Facilities;#Customers;#Modeled Individuals;Total Demand;p;total cost;routing cost;covering cost;routing distance;total covering distance;mean covering distance per household;median covering distance per household;std. covering distance per household;mean route utilization (%);95% quantile covering distances per household;unique facility count;longest route length;route lengths;nonempty routes;nonsingle routes;VNS iterations
Baghlan ai0.5_vCnt1_cD1_sT1_rcS0.1;0,5;1;1;1;0,1;2;276;276;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD1_sT1_rcS1;0,5;1;1;1;1,0;2;276;276;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD1_sT1_rcS3;0,5;1;1;1;3,0;2;276;276;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD1_sT1_rcS5;0,5;1;1;1;5,0;2;276;276;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD1_sT1_rcS7;0,5;1;1;1;7,0;2;276;276;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD2_sT1_rcS0.1;0,5;2;1;1;0,1;2;305;305;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD2_sT1_rcS1;0,5;2;1;1;1,0;2;305;305;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD2_sT1_rcS3;0,5;2;1;1;3,0;2;305;305;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD2_sT1_rcS5;0,5;2;1;1;5,0;2;305;305;432;2819;1316,473;28;;;;;;;;;;;;;;;;
Baghlan ai0.5_vCnt1_cD2_sT1_rcS7;0,5;2;1;1;7,0;2;305;305;432;2819;1316,473;28;;;;;;;;;;;;;;;;
