Name;Latitude;Longitude;Demand;No. of modeled individuals;Cell ID;Province;District
cust_1;35,95416686;68,70416567;0,64;8;23_31;Baghlan;Puli Khumri
cust_2;35,95416686;68,71249901;0,96;12;23_32;Baghlan;Puli Khumri
cust_3;36,06250019;68,59583234;0,4;5;10_18;Baghlan;Puli Khumri
cust_4;35,97916686;68,69583234;0,48;6;20_30;Baghlan;Puli Khumri
cust_5;35,97083353;68,61249901;0,16;2;21_20;Baghlan;Puli Khumri
cust_6;35,92916686;68,72083234;0,96;12;26_33;Baghlan;Puli Khumri
cust_7;35,92916686;68,72916567;0,64;8;26_34;Baghlan;Puli Khumri
cust_8;35,95416686;68,63749901;0,24;3;23_23;Baghlan;Puli Khumri
cust_9;36,00416686;68,62083234;0,24;3;17_21;Baghlan;Puli Khumri
cust_10;36,09583352;68,63749901;0,08;1;6_23;Baghlan;Puli Khumri
cust_11;36,01250019;68,59583234;0,08;1;16_18;Baghlan;Puli Khumri
cust_12;36,02916686;68,59583234;0,48;6;14_18;Baghlan;Puli Khumri
cust_13;35,99583353;68,64583234;0,24;3;18_24;Baghlan;Puli Khumri
cust_14;35,97083353;68,69583234;0,96;12;21_30;Baghlan;Puli Khumri
cust_15;36,02083353;68,67083234;0,72;9;15_27;Baghlan;Puli Khumri
cust_16;35,93750019;68,71249901;0,8;10;25_32;Baghlan;Puli Khumri
cust_17;35,94583353;68,70416567;1,52;19;24_31;Baghlan;Puli Khumri
cust_18;35,92083353;68,73749901;0,8;10;27_35;Baghlan;Puli Khumri
cust_19;35,99583353;68,66249901;0,4;5;18_26;Baghlan;Puli Khumri
cust_20;35,98750019;68,68749901;1,28;16;19_29;Baghlan;Puli Khumri
cust_21;35,92916686;68,70416567;0,16;2;26_31;Baghlan;Puli Khumri
cust_22;35,94583353;68,71249901;1,04;13;24_32;Baghlan;Puli Khumri
cust_23;35,98750019;68,62916567;0,16;2;19_22;Baghlan;Puli Khumri
cust_24;35,92083353;68,72083234;0,16;2;27_33;Baghlan;Puli Khumri
cust_25;35,97083353;68,64583234;0,24;3;21_24;Baghlan;Puli Khumri
cust_26;36,02916686;68,67916567;0,48;6;14_28;Baghlan;Puli Khumri
cust_27;35,97916686;68,67916567;0,72;9;20_28;Baghlan;Puli Khumri
cust_28;35,94583353;68,64583234;0,08;1;24_24;Baghlan;Puli Khumri
cust_29;35,99583353;68,61249901;0,24;3;18_20;Baghlan;Puli Khumri
cust_30;35,97916686;68,62916567;0,32;4;20_22;Baghlan;Puli Khumri
cust_31;36,07083353;68,62083234;0,24;3;9_21;Baghlan;Puli Khumri
cust_32;35,89583353;68,74583234;0,32;4;30_36;Baghlan;Puli Khumri
cust_33;35,93750019;68,72916567;0,32;4;25_34;Baghlan;Puli Khumri
cust_34;35,97083353;68,72083234;0,08;1;21_33;Baghlan;Puli Khumri
cust_35;36,04583353;68,67083234;0,4;5;12_27;Baghlan;Puli Khumri
cust_36;36,02083353;68,59583234;0,24;3;15_18;Baghlan;Puli Khumri
cust_37;35,96250019;68,69583234;0,8;10;22_30;Baghlan;Puli Khumri
cust_38;35,94583353;68,62916567;0,32;4;24_22;Baghlan;Puli Khumri
cust_39;35,97083353;68,62083234;0,08;1;21_21;Baghlan;Puli Khumri
cust_40;35,98750019;68,66249901;0,16;2;19_26;Baghlan;Puli Khumri
cust_41;35,98750019;68,64583234;0,24;3;19_24;Baghlan;Puli Khumri
cust_42;35,96250019;68,72083234;0,4;5;22_33;Baghlan;Puli Khumri
cust_43;35,97083353;68,68749901;0,88;11;21_29;Baghlan;Puli Khumri
cust_44;36,02083353;68,60416567;0,24;3;15_19;Baghlan;Puli Khumri
cust_45;35,97083353;68,67916567;0,32;4;21_28;Baghlan;Puli Khumri
cust_46;35,94583353;68,72083234;0,72;9;24_33;Baghlan;Puli Khumri
cust_47;35,97916686;68,63749901;0,16;2;20_23;Baghlan;Puli Khumri
cust_48;35,96250019;68,62916567;0,32;4;22_22;Baghlan;Puli Khumri
