Name;Latitude;Longitude;Cost;Capacity;ClearName;Type
depot_1;34,565899;69,212303;0;5568;Kabul International Airport;medium_airport
depot_2;34,946098;69,264999;0;5568;Bagram Airfield;medium_airport
depot_3;36,706902;67,209702;0;5568;Mazar-i-Sharif International Airport;medium_airport
depot_4;37,122148;70,5201;0;5568;Fayzabad Airport;small_airport
depot_5;34,808916;67,816629;0;5568;Bamyan Airport;small_airport
depot_6;34,778601;67,489557;0;5568;Shebartu Landing Zone Airport;small_airport
depot_7;36,646099;67,032303;0;5568;Dehdadi Airport;small_airport
depot_8;34,192902;69,135696;0;5568;Kutub Khel Airport;small_airport
depot_9;34,171971;69,035309;0;5568;Mohammad Agha Wuluswali Airport;small_airport
depot_10;34,391726;67,020445;0;5568;Panjab Airport;small_airport
depot_11;37,10681;69,848892;0;5568;Rostaq Airport;small_airport
depot_12;36,029893;70,714159;0;5568;Razer Airport;small_airport
depot_13;36,770699;69,531998;0;5568;Taleqan Airport;small_airport
depot_14;34,687099;66,893204;0;5568;Nayak Airport;small_airport
depot_15;37,061623;69,487765;0;5568;Khwaja Ghar South Airport;small_airport
depot_16;36,01707;70,76085;0;5568;Koran va Monjan  Airport;small_airport
depot_17;37,459;69,646599;0;5568;Yangi Qaleh Airport;small_airport
depot_18;37,423302;69,430298;0;5568;Qara Tepa Heliport;heliport
depot_19;34,548535;69,06869;0;5568;Camp Qargha North Heliport;heliport
depot_20;34,539752;69,071963;0;5568;Camp Qargha South Heliport;heliport
depot_21;34,54016;69,30969;0;5568;Camp Warehouse Heliport;heliport
depot_22;34,54526;69,27494;0;5568;UNOCA Heliport;heliport
