Name;Supply Factor;Covering Duration (hours);Helicopter Speed;Ground Speed;Depot Candidates;Depot Capacity Percentage;Horizon (days);Frequency (days);Block Size;#Depots;#Facilities;#Unique Facilities;#Customers;#Modeled Individuals;Total Demand;Aircraft Type;p;Best solution total cost;Best solution routing cost;Best solution covering cost;Best solution unique facility count;Best solution longest route length;Best solution route lengths;Best solution nonempty routes;Best solution nonsingle routes;Best solution VNS iterations
Baghlan s0.5_Mi-8_hS120_gS10_dall_dP1_cD1_h1_f1_bs1;0.5;1;120;10;all;1;1;1;1;22;463;463;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS10_dall_dP1_cD2_h1_f1_bs1;0.5;2;120;10;all;1;1;1;1;22;367;367;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS10_dall_dP1_cD4_h1_f1_bs1;0.5;4;120;10;all;1;1;1;1;22;312;312;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS10_dall_dP1_cD6_h1_f1_bs1;0.5;6;120;10;all;1;1;1;1;22;227;227;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS5_dall_dP1_cD1_h1_f1_bs1;0.5;1;120;5;all;1;1;1;1;22;637;637;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS5_dall_dP1_cD2_h1_f1_bs1;0.5;2;120;5;all;1;1;1;1;22;470;470;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS5_dall_dP1_cD4_h1_f1_bs1;0.5;4;120;5;all;1;1;1;1;22;372;372;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS120_gS5_dall_dP1_cD6_h1_f1_bs1;0.5;6;120;5;all;1;1;1;1;22;326;326;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS10_dall_dP1_cD1_h1_f1_bs1;0.5;1;150;10;all;1;1;1;1;22;464;464;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS10_dall_dP1_cD2_h1_f1_bs1;0.5;2;150;10;all;1;1;1;1;22;374;374;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS10_dall_dP1_cD4_h1_f1_bs1;0.5;4;150;10;all;1;1;1;1;22;298;298;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
