Name;Latitude;Longitude;Demand;No. of modeled individuals;Cell ID;Province;District
cust_1;36,20416685785001;69,57916566835003;36,893;79;19_19;Baghlan;Guzargahi Nur
cust_2;36,23750019105001;69,54583233515002;9,806999999999999;21;15_15;Baghlan;Guzargahi Nur
cust_3;36,29583352415001;69,56249900175003;2,8019999999999996;6;8_17;Baghlan;Guzargahi Nur
cust_4;36,162500191350006;69,47083233545003;7,938999999999999;17;24_6;Baghlan;Guzargahi Nur
cust_5;36,212500191150006;69,57916566835003;35,025;75;18_19;Baghlan;Guzargahi Nur
cust_6;36,20416685785001;69,57083233505003;61,177;131;19_18;Baghlan;Guzargahi Nur
cust_7;36,22083352445001;69,62083233485002;23,817;51;17_24;Baghlan;Guzargahi Nur
cust_8;36,23750019105001;69,50416566865003;0,46699999999999997;1;15_10;Baghlan;Guzargahi Nur
cust_9;36,18750019125001;69,51249900195002;7,005;15;21_11;Baghlan;Guzargahi Nur
cust_10;36,212500191150006;69,57083233505003;26,151999999999997;56;18_18;Baghlan;Guzargahi Nur
cust_11;36,22083352445001;69,58749900165003;7,005;15;17_20;Baghlan;Guzargahi Nur
cust_12;36,22083352445001;69,62916566815002;16,345;35;17_25;Baghlan;Guzargahi Nur
cust_13;36,20416685785001;69,56249900175003;20,081;43;19_17;Baghlan;Guzargahi Nur
cust_14;36,27083352425001;69,55416566845003;0,9339999999999999;2;11_16;Baghlan;Guzargahi Nur
cust_15;36,22083352445001;69,60416566825002;19,147;41;17_22;Baghlan;Guzargahi Nur
cust_16;36,212500191150006;69,53749900185002;7,938999999999999;17;18_14;Baghlan;Guzargahi Nur
cust_17;36,20416685785001;69,53749900185002;5,603999999999999;12;19_14;Baghlan;Guzargahi Nur
cust_18;36,254166857650006;69,55416566845003;7,005;15;13_16;Baghlan;Guzargahi Nur
cust_19;36,22083352445001;69,63749900145002;5,603999999999999;12;17_26;Baghlan;Guzargahi Nur
cust_20;36,30416685745001;69,59583233495003;1,4009999999999998;3;7_21;Baghlan;Guzargahi Nur
cust_21;36,27083352425001;69,58749900165003;0,46699999999999997;1;11_20;Baghlan;Guzargahi Nur
cust_22;36,22083352445001;69,59583233495003;28,487;61;17_21;Baghlan;Guzargahi Nur
cust_23;36,30416685745001;69,57916566835003;4,67;10;7_19;Baghlan;Guzargahi Nur
cust_24;36,212500191150006;69,58749900165003;27,552999999999997;59;18_20;Baghlan;Guzargahi Nur
cust_25;36,22083352445001;69,61249900155002;8,405999999999999;18;17_23;Baghlan;Guzargahi Nur
cust_26;36,17916685795001;69,49583233535003;8,405999999999999;18;22_9;Baghlan;Guzargahi Nur
cust_27;36,24583352435001;69,51249900195002;1,4009999999999998;3;14_11;Baghlan;Guzargahi Nur
cust_28;36,24583352435001;69,58749900165003;8,405999999999999;18;14_20;Baghlan;Guzargahi Nur
cust_29;36,212500191150006;69,52916566855002;7,005;15;18_13;Baghlan;Guzargahi Nur
cust_30;36,22083352445001;69,53749900185002;12,609;27;17_14;Baghlan;Guzargahi Nur
cust_31;36,20416685785001;69,52916566855002;16,811999999999998;36;19_13;Baghlan;Guzargahi Nur
cust_32;36,254166857650006;69,54583233515002;1,8679999999999999;4;13_15;Baghlan;Guzargahi Nur
cust_33;36,24583352435001;69,52916566855002;4,202999999999999;9;14_13;Baghlan;Guzargahi Nur
cust_34;36,212500191150006;69,56249900175003;5,603999999999999;12;18_17;Baghlan;Guzargahi Nur
cust_35;36,212500191150006;69,59583233495003;16,811999999999998;36;18_21;Baghlan;Guzargahi Nur
cust_36;36,19583352455001;69,52083233525002;17,279;37;20_12;Baghlan;Guzargahi Nur
cust_37;36,27083352425001;69,62916566815002;1,4009999999999998;3;11_25;Baghlan;Guzargahi Nur
cust_38;36,24583352435001;69,57916566835003;2,335;5;14_19;Baghlan;Guzargahi Nur
cust_39;36,18750019125001;69,48749900205003;1,8679999999999999;4;21_8;Baghlan;Guzargahi Nur
cust_40;36,24583352435001;69,60416566825002;1,4009999999999998;3;14_22;Baghlan;Guzargahi Nur
cust_41;36,22916685775001;69,62916566815002;7,005;15;16_25;Baghlan;Guzargahi Nur
cust_42;36,22916685775001;69,49583233535003;4,202999999999999;9;16_9;Baghlan;Guzargahi Nur
cust_43;36,19583352455001;69,52916566855002;5,603999999999999;12;20_13;Baghlan;Guzargahi Nur
cust_44;36,17916685795001;69,47916566875003;1,8679999999999999;4;22_7;Baghlan;Guzargahi Nur
cust_45;36,18750019125001;69,50416566865003;5,603999999999999;12;21_10;Baghlan;Guzargahi Nur
cust_46;36,20416685785001;69,58749900165003;0,46699999999999997;1;19_20;Baghlan;Guzargahi Nur
cust_47;36,18750019125001;69,52083233525002;0,46699999999999997;1;21_12;Baghlan;Guzargahi Nur
cust_48;36,17916685795001;69,48749900205003;4,67;10;22_8;Baghlan;Guzargahi Nur
cust_49;36,28750019085001;69,55416566845003;1,4009999999999998;3;9_16;Baghlan;Guzargahi Nur
cust_50;36,20416685785001;69,67083233465003;0,46699999999999997;1;19_30;Baghlan;Guzargahi Nur
cust_51;36,20416685785001;69,54583233515002;2,8019999999999996;6;19_15;Baghlan;Guzargahi Nur
cust_52;36,29583352415001;69,62083233485002;0,9339999999999999;2;8_24;Baghlan;Guzargahi Nur
cust_53;36,23750019105001;69,69583233455002;1,4009999999999998;3;15_33;Baghlan;Guzargahi Nur
cust_54;36,17083352465001;69,47916566875003;6,071;13;23_7;Baghlan;Guzargahi Nur
cust_55;36,20416685785001;69,61249900155002;1,4009999999999998;3;19_23;Baghlan;Guzargahi Nur
cust_56;36,24583352435001;69,55416566845003;1,4009999999999998;3;14_16;Baghlan;Guzargahi Nur
cust_57;36,22083352445001;69,64583233475003;0,9339999999999999;2;17_27;Baghlan;Guzargahi Nur
cust_58;36,26250019095001;69,55416566845003;2,335;5;12_16;Baghlan;Guzargahi Nur
cust_59;36,22916685775001;69,48749900205003;1,4009999999999998;3;16_8;Baghlan;Guzargahi Nur
cust_60;36,22916685775001;69,54583233515002;3,7359999999999998;8;16_15;Baghlan;Guzargahi Nur
cust_61;36,23750019105001;69,55416566845003;2,335;5;15_16;Baghlan;Guzargahi Nur
cust_62;36,24583352435001;69,57083233505003;1,8679999999999999;4;14_18;Baghlan;Guzargahi Nur
cust_63;36,24583352435001;69,63749900145002;0,9339999999999999;2;14_26;Baghlan;Guzargahi Nur
cust_64;36,28750019085001;69,62083233485002;1,4009999999999998;3;9_24;Baghlan;Guzargahi Nur
cust_65;36,17083352465001;69,48749900205003;1,8679999999999999;4;23_8;Baghlan;Guzargahi Nur
cust_66;36,212500191150006;69,60416566825002;1,4009999999999998;3;18_22;Baghlan;Guzargahi Nur
cust_67;36,22083352445001;69,52083233525002;1,4009999999999998;3;17_12;Baghlan;Guzargahi Nur
cust_68;36,17916685795001;69,50416566865003;0,9339999999999999;2;22_10;Baghlan;Guzargahi Nur
cust_69;36,24583352435001;69,54583233515002;0,9339999999999999;2;14_15;Baghlan;Guzargahi Nur
cust_70;36,15416685805001;69,55416566845003;1,8679999999999999;4;25_16;Baghlan;Guzargahi Nur
cust_71;36,18750019125001;69,49583233535003;0,46699999999999997;1;21_9;Baghlan;Guzargahi Nur
cust_72;36,18750019125001;69,53749900185002;1,4009999999999998;3;21_14;Baghlan;Guzargahi Nur
cust_73;36,23750019105001;69,52083233525002;0,46699999999999997;1;15_12;Baghlan;Guzargahi Nur
cust_74;36,23750019105001;69,66249900135003;0,46699999999999997;1;15_29;Baghlan;Guzargahi Nur
cust_75;36,22916685775001;69,53749900185002;1,8679999999999999;4;16_14;Baghlan;Guzargahi Nur
cust_76;36,22083352445001;69,52916566855002;0,9339999999999999;2;17_13;Baghlan;Guzargahi Nur
cust_77;36,24583352435001;69,62083233485002;0,46699999999999997;1;14_24;Baghlan;Guzargahi Nur
cust_78;36,22916685775001;69,62083233485002;0,46699999999999997;1;16_24;Baghlan;Guzargahi Nur
cust_79;36,162500191350006;69,47916566875003;1,4009999999999998;3;24_7;Baghlan;Guzargahi Nur
cust_80;36,27916685755001;69,55416566845003;2,335;5;10_16;Baghlan;Guzargahi Nur
cust_81;36,212500191150006;69,62916566815002;0,9339999999999999;2;18_25;Baghlan;Guzargahi Nur
