Name;Latitude;Longitude;Demand;No. of modeled individuals;Cell ID;Province;District
cust_1;36,20416685785001;69,57916566835003;49,035000000000004;105;19_19;Baghlan;Guzargahi Nur
cust_2;36,23750019105001;69,54583233515002;12,609;27;15_15;Baghlan;Guzargahi Nur
cust_3;36,15416685805001;69,47083233545003;1,401;3;25_6;Baghlan;Guzargahi Nur
cust_4;36,29583352415001;69,56249900175003;3,736;8;8_17;Baghlan;Guzargahi Nur
cust_5;36,162500191350006;69,47083233545003;10,274000000000001;22;24_6;Baghlan;Guzargahi Nur
cust_6;36,212500191150006;69,57916566835003;46,7;100;18_19;Baghlan;Guzargahi Nur
cust_7;36,20416685785001;69,57083233505003;81,25800000000001;174;19_18;Baghlan;Guzargahi Nur
cust_8;36,22083352445001;69,62083233485002;31,756;68;17_24;Baghlan;Guzargahi Nur
cust_9;36,23750019105001;69,50416566865003;0,467;1;15_10;Baghlan;Guzargahi Nur
cust_10;36,18750019125001;69,51249900195002;9,34;20;21_11;Baghlan;Guzargahi Nur
cust_11;36,212500191150006;69,57083233505003;34,558;74;18_18;Baghlan;Guzargahi Nur
cust_12;36,22083352445001;69,58749900165003;8,873000000000001;19;17_20;Baghlan;Guzargahi Nur
cust_13;36,22083352445001;69,62916566815002;21,482000000000003;46;17_25;Baghlan;Guzargahi Nur
cust_14;36,20416685785001;69,56249900175003;26,619;57;19_17;Baghlan;Guzargahi Nur
cust_15;36,27083352425001;69,55416566845003;0,934;2;11_16;Baghlan;Guzargahi Nur
cust_16;36,22083352445001;69,60416566825002;25,218;54;17_22;Baghlan;Guzargahi Nur
cust_17;36,212500191150006;69,53749900185002;10,274000000000001;22;18_14;Baghlan;Guzargahi Nur
cust_18;36,20416685785001;69,53749900185002;7,005000000000001;15;19_14;Baghlan;Guzargahi Nur
cust_19;36,254166857650006;69,55416566845003;9,34;20;13_16;Baghlan;Guzargahi Nur
cust_20;36,22083352445001;69,63749900145002;7,472;16;17_26;Baghlan;Guzargahi Nur
cust_21;36,30416685745001;69,59583233495003;1,868;4;7_21;Baghlan;Guzargahi Nur
cust_22;36,27083352425001;69,58749900165003;0,467;1;11_20;Baghlan;Guzargahi Nur
cust_23;36,22083352445001;69,59583233495003;37,827000000000005;81;17_21;Baghlan;Guzargahi Nur
cust_24;36,30416685745001;69,57916566835003;6,071000000000001;13;7_19;Baghlan;Guzargahi Nur
cust_25;36,212500191150006;69,58749900165003;36,426;78;18_20;Baghlan;Guzargahi Nur
cust_26;36,22083352445001;69,61249900155002;10,741000000000001;23;17_23;Baghlan;Guzargahi Nur
cust_27;36,17916685795001;69,49583233535003;11,208;24;22_9;Baghlan;Guzargahi Nur
cust_28;36,24583352435001;69,51249900195002;1,401;3;14_11;Baghlan;Guzargahi Nur
cust_29;36,24583352435001;69,58749900165003;11,208;24;14_20;Baghlan;Guzargahi Nur
cust_30;36,212500191150006;69,52916566855002;8,873000000000001;19;18_13;Baghlan;Guzargahi Nur
cust_31;36,22083352445001;69,53749900185002;16,345000000000002;35;17_14;Baghlan;Guzargahi Nur
cust_32;36,20416685785001;69,52916566855002;22,416;48;19_13;Baghlan;Guzargahi Nur
cust_33;36,254166857650006;69,54583233515002;2,335;5;13_15;Baghlan;Guzargahi Nur
cust_34;36,24583352435001;69,52916566855002;5,604;12;14_13;Baghlan;Guzargahi Nur
cust_35;36,212500191150006;69,56249900175003;7,472;16;18_17;Baghlan;Guzargahi Nur
cust_36;36,212500191150006;69,59583233495003;22,416;48;18_21;Baghlan;Guzargahi Nur
cust_37;36,19583352455001;69,52083233525002;22,883000000000003;49;20_12;Baghlan;Guzargahi Nur
cust_38;36,27083352425001;69,62916566815002;1,401;3;11_25;Baghlan;Guzargahi Nur
cust_39;36,24583352435001;69,57916566835003;2,802;6;14_19;Baghlan;Guzargahi Nur
cust_40;36,29583352415001;69,62916566815002;17,279;37;8_25;Baghlan;Guzargahi Nur
cust_41;36,18750019125001;69,48749900205003;2,335;5;21_8;Baghlan;Guzargahi Nur
cust_42;36,24583352435001;69,60416566825002;1,401;3;14_22;Baghlan;Guzargahi Nur
cust_43;36,22916685775001;69,62916566815002;9,34;20;16_25;Baghlan;Guzargahi Nur
cust_44;36,28750019085001;69,62916566815002;1,868;4;9_25;Baghlan;Guzargahi Nur
cust_45;36,22916685775001;69,49583233535003;5,1370000000000005;11;16_9;Baghlan;Guzargahi Nur
cust_46;36,14583352475001;69,43749900225002;2,335;5;26_2;Baghlan;Guzargahi Nur
cust_47;36,19583352455001;69,52916566855002;7,472;16;20_13;Baghlan;Guzargahi Nur
cust_48;36,17916685795001;69,47916566875003;2,335;5;22_7;Baghlan;Guzargahi Nur
cust_49;36,18750019125001;69,50416566865003;7,472;16;21_10;Baghlan;Guzargahi Nur
