Name;Affected Individual Factor;Covering Duration (hours);Service Threshold (hours);Helicopter Speed;Ground Speed;Depot Candidates;Depot Capacity Percentage;Route Cost Scaling Factor;#Depots;#Facilities;#Unique Facilities;#Customers;#Modeled Individuals;Total Demand;Aircraft Type;p;total cost;routing cost;covering cost;routing distance;total covering distance;mean covering distance per household;median covering distance per household;std. covering distance per household;unique facility count;longest route length;route lengths;nonempty routes;nonsingle routes;VNS iterations
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS0.1_rmCDTrue;0,5;1;1;150;4;all;1;0,1;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS0.5_rmCDTrue;0,5;1;1;150;4;all;1;0,5;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS12_rmCDTrue;0,5;1;1;150;4;all;1;12,0;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS1_rmCDTrue;0,5;1;1;150;4;all;1;1,0;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS3_rmCDTrue;0,5;1;1;150;4;all;1;3,0;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD1_sT1_rcS7_rmCDTrue;0,5;1;1;150;4;all;1;7,0;14;276;276;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD2_sT1_rcS0.1_rmCDTrue;0,5;2;1;150;4;all;1;0,1;14;305;305;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD2_sT1_rcS0.5_rmCDTrue;0,5;2;1;150;4;all;1;0,5;14;305;305;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD2_sT1_rcS12_rmCDTrue;0,5;2;1;150;4;all;1;12,0;14;305;305;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD2_sT1_rcS1_rmCDTrue;0,5;2;1;150;4;all;1;1,0;14;305;305;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
Baghlan ai0.5_Mi-8_p28_hS150_gS4_dall_dP1_fCap150_vCnt1_cD2_sT1_rcS3_rmCDTrue;0,5;2;1;150;4;all;1;3,0;14;305;305;429;2798;1306,666;Mi-8;28;;;;;;;;;;;;;;
