Name;Latitude;Longitude;Demand;No. of modeled individuals;Cell ID;Province;District
cust_1;36,22083352445001;69,60416566825002;26,152;56;17_22;Baghlan;Guzargahi Nur
cust_2;36,212500191150006;69,57916566835003;49,502;106;18_19;Baghlan;Guzargahi Nur
cust_3;36,22083352445001;69,59583233495003;29,421000000000003;63;17_21;Baghlan;Guzargahi Nur
cust_4;36,23750019105001;69,54583233515002;16,345000000000002;35;15_15;Baghlan;Guzargahi Nur
cust_5;36,20416685785001;69,57083233505003;65,38000000000001;140;19_18;Baghlan;Guzargahi Nur
cust_6;36,22083352445001;69,62916566815002;17,279;37;17_25;Baghlan;Guzargahi Nur
cust_7;36,20416685785001;69,56249900175003;23,35;50;19_17;Baghlan;Guzargahi Nur
cust_8;36,24583352435001;69,57083233505003;3,736;8;14_18;Baghlan;Guzargahi Nur
cust_9;36,20416685785001;69,57916566835003;44,832;96;19_19;Baghlan;Guzargahi Nur
cust_10;36,212500191150006;69,56249900175003;15,411000000000001;33;18_17;Baghlan;Guzargahi Nur
cust_11;36,17916685795001;69,50416566865003;3,736;8;22_10;Baghlan;Guzargahi Nur
cust_12;36,162500191350006;69,47083233545003;14,944;32;24_6;Baghlan;Guzargahi Nur
cust_13;36,22083352445001;69,62083233485002;23,817;51;17_24;Baghlan;Guzargahi Nur
cust_14;36,254166857650006;69,55416566845003;10,274000000000001;22;13_16;Baghlan;Guzargahi Nur
cust_15;36,17916685795001;69,47916566875003;2,802;6;22_7;Baghlan;Guzargahi Nur
cust_16;36,212500191150006;69,57083233505003;35,492000000000004;76;18_18;Baghlan;Guzargahi Nur
cust_17;36,22083352445001;69,63749900145002;6,538;14;17_26;Baghlan;Guzargahi Nur
cust_18;36,18750019125001;69,51249900195002;7,472;16;21_11;Baghlan;Guzargahi Nur
cust_19;36,254166857650006;69,59583233495003;0,934;2;13_21;Baghlan;Guzargahi Nur
cust_20;36,19583352455001;69,52083233525002;24,751;53;20_12;Baghlan;Guzargahi Nur
cust_21;36,17916685795001;69,48749900205003;6,071000000000001;13;22_8;Baghlan;Guzargahi Nur
cust_22;36,17083352465001;69,48749900205003;6,071000000000001;13;23_8;Baghlan;Guzargahi Nur
cust_23;36,24583352435001;69,58749900165003;13,076;28;14_20;Baghlan;Guzargahi Nur
cust_24;36,30416685745001;69,59583233495003;1,868;4;7_21;Baghlan;Guzargahi Nur
cust_25;36,212500191150006;69,59583233495003;25,218;54;18_21;Baghlan;Guzargahi Nur
cust_26;36,20416685785001;69,61249900155002;0,934;2;19_23;Baghlan;Guzargahi Nur
cust_27;36,24583352435001;69,57916566835003;2,335;5;14_19;Baghlan;Guzargahi Nur
cust_28;36,162500191350006;69,46249900215003;5,604;12;24_5;Baghlan;Guzargahi Nur
cust_29;36,17916685795001;69,49583233535003;16,345000000000002;35;22_9;Baghlan;Guzargahi Nur
cust_30;36,27083352425001;69,63749900145002;0,467;1;11_26;Baghlan;Guzargahi Nur
cust_31;36,22083352445001;69,53749900185002;20,548000000000002;44;17_14;Baghlan;Guzargahi Nur
cust_32;36,18750019125001;69,50416566865003;10,741000000000001;23;21_10;Baghlan;Guzargahi Nur
cust_33;36,22916685775001;69,48749900205003;2,335;5;16_8;Baghlan;Guzargahi Nur
cust_34;36,20416685785001;69,54583233515002;4,203;9;19_15;Baghlan;Guzargahi Nur
cust_35;36,22083352445001;69,61249900155002;14,010000000000002;30;17_23;Baghlan;Guzargahi Nur
cust_36;36,212500191150006;69,52916566855002;9,807;21;18_13;Baghlan;Guzargahi Nur
cust_37;36,212500191150006;69,62916566815002;0,467;1;18_25;Baghlan;Guzargahi Nur
cust_38;36,23750019105001;69,50416566865003;0,467;1;15_10;Baghlan;Guzargahi Nur
cust_39;36,212500191150006;69,53749900185002;8,873000000000001;19;18_14;Baghlan;Guzargahi Nur
cust_40;36,212500191150006;69,58749900165003;41,096000000000004;88;18_20;Baghlan;Guzargahi Nur
cust_41;36,22916685775001;69,54583233515002;4,67;10;16_15;Baghlan;Guzargahi Nur
cust_42;36,22083352445001;69,51249900195002;0,934;2;17_11;Baghlan;Guzargahi Nur
cust_43;36,17083352465001;69,47916566875003;7,472;16;23_7;Baghlan;Guzargahi Nur
cust_44;36,254166857650006;69,54583233515002;3,269;7;13_15;Baghlan;Guzargahi Nur
cust_45;36,20416685785001;69,52916566855002;21,015;45;19_13;Baghlan;Guzargahi Nur
cust_46;36,29583352415001;69,57083233505003;0,934;2;8_18;Baghlan;Guzargahi Nur
cust_47;36,20416685785001;69,53749900185002;5,604;12;19_14;Baghlan;Guzargahi Nur
cust_48;36,23750019105001;69,59583233495003;0,467;1;15_21;Baghlan;Guzargahi Nur
cust_49;36,22083352445001;69,58749900165003;5,1370000000000005;11;17_20;Baghlan;Guzargahi Nur
cust_50;36,24583352435001;69,52083233525002;0,467;1;14_12;Baghlan;Guzargahi Nur
cust_51;36,27083352425001;69,54583233515002;0,934;2;11_15;Baghlan;Guzargahi Nur
