Name;Latitude;Longitude;Cost;Capacity;ClearName;Type
depot_1;34,565899;69,212303;0;3459;Kabul International Airport;medium_airport
depot_2;34,946098;69,264999;0;3459;Bagram Airfield;medium_airport
depot_3;37,122148;70,5201;0;3459;Fayzabad Airport;small_airport
depot_4;37,890021;70,20383;0;3459;Khwahan Airport;small_airport
depot_5;37,497642;71,508484;0;3459;Sheghnan Airport;small_airport
depot_6;36,029893;70,714159;0;3459;Razer Airport;small_airport
depot_7;36,71272;71,61261;0;3459;Ishkashim Airport;small_airport
depot_8;36,01707;70,76085;0;3459;Koran va Monjan  Airport;small_airport
depot_9;37,459;69,646599;0;3459;Yangi Qaleh Airport;small_airport
depot_10;37,563636;70,444496;0;3459;Yawan Airport;small_airport
depot_11;37,423302;69,430298;0;3459;Qara Tepa Heliport;heliport
depot_12;34,548535;69,06869;0;3459;Camp Qargha North Heliport;heliport
