Name;Latitude;Longitude;Capacity;Cost;ClearName;Type;is_copy;added_to_guarantee_coverage;is_critical
facil_1;36,07125019171501;69,05930455931836;178,277;0;facil_1;greenfield;False;False;False
facil_2;36,773750188905005;69,90930455591837;63,045;0;facil_2;greenfield;False;False;False
facil_3;36,29708352414501;68,84263789351837;25,218;0;facil_3;greenfield;False;False;False
facil_4;36,57625018969501;69,97263788899836;410,843;0;facil_4;greenfield;False;False;False
facil_5;36,05375019178501;68,96097122637836;66,547;0;facil_5;greenfield;False;False;False
facil_6;36,65958352269501;70,09097122185837;22,766;0;facil_6;greenfield;False;False;False
facil_7;36,73875018904501;69,87930455603836;130,643;0;facil_7;greenfield;False;False;False
facil_8;36,34458352395501;70,00013788888836;77,055;0;facil_8;greenfield;False;False;False
facil_9;35,851250192595;68,93430455981837;0,7;0;facil_9;greenfield;False;False;False
facil_10;36,857083521905004;70,06430455529836;16,111;0;facil_10;greenfield;False;False;False
facil_11;35,89458352575501;69,23763789193836;0,35;0;facil_11;greenfield;False;False;False
facil_12;36,65125018939501;69,80847122298837;439,914;0;facil_12;greenfield;False;False;False
facil_13;36,20125019119501;69,54680455736836;582,466;0;facil_13;greenfield;False;False;False
facil_14;36,761250188955;69,95013788908837;26,969;0;facil_14;greenfield;False;False;False
facil_15;36,33875019064501;68,96930455967836;637,805;0;facil_15;greenfield;False;False;False
facil_16;36,416250190335006;68,91513789322836;68,649;0;facil_16;greenfield;False;False;False
facil_17;36,33541685732501;69,55513789066836;487,548;0;facil_17;greenfield;False;False;False
facil_18;36,227916857755005;69,13847122566837;1328,498;0;facil_18;greenfield;False;False;False
facil_19;35,97375019210501;69,09097122585837;78,806;0;facil_19;greenfield;False;False;False
facil_20;36,396250190415;69,92847122250836;240,972;0;facil_20;greenfield;False;False;False
facil_21;36,15958352469501;69,13513789234837;1322,894;0;facil_21;greenfield;False;False;False
facil_22;36,43541685692501;69,14097122565836;354,803;0;facil_22;greenfield;False;False;False
facil_23;36,51791685659501;69,92347122252836;454,975;0;facil_23;greenfield;False;False;False
facil_24;36,61791685619501;69,83513788954836;471,787;0;facil_24;greenfield;False;False;False
facil_25;36,06875019172501;68,89097122665837;27,67;0;facil_25;greenfield;False;False;False
facil_26;35,83958352597501;68,84430456017837;0,35;0;facil_26;greenfield;False;False;False
facil_27;36,807916855435;70,03430455541837;20,314;0;facil_27;greenfield;False;False;False
facil_28;35,915416859005006;69,24930455855836;0,7;0;facil_28;greenfield;False;False;False
facil_29;36,61708352286501;69,79847122302837;424,503;0;facil_29;greenfield;False;False;False
facil_30;36,24958352433501;69,21347122536837;1287,519;0;facil_30;greenfield;False;False;False
facil_31;36,306250190775;68,97430455965836;980,0;0;facil_31;greenfield;False;False;False
facil_32;36,687916855915006;69,58513789054837;3,853;0;facil_32;greenfield;False;False;False
facil_33;36,42875019028501;69,73347122328836;3,152;0;facil_33;greenfield;False;False;False
facil_34;36,92958352161501;70,00680455552836;8,756;0;facil_34;greenfield;False;False;False
facil_35;36,085416858325004;69,03180455942837;518,72;0;facil_35;greenfield;False;False;False
facil_36;36,541250189835004;69,85763788945837;505,761;0;facil_36;greenfield;False;False;False
facil_37;36,223750191105005;69,22180455866837;1270,007;0;facil_37;greenfield;False;False;False
facil_38;36,61291685621501;69,65013789028836;38,177;0;facil_38;greenfield;False;False;False
facil_39;36,734583522395006;69,81597122295837;28,72;0;facil_39;greenfield;False;False;False
facil_40;36,448750190205004;69,87513788938837;414,346;0;facil_40;greenfield;False;False;False
facil_41;36,908750188365005;70,05847122198837;3,502;0;facil_41;greenfield;False;False;False
facil_42;36,83958352197501;70,06680455528837;16,812;0;facil_42;greenfield;False;False;False
facil_43;36,643750189425006;69,94430455577836;286,154;0;facil_43;greenfield;False;False;False
facil_44;36,02458352523501;68,85847122678837;13,66;0;facil_44;greenfield;False;False;False
facil_45;36,356250190575004;69,12180455906837;1218,52;0;facil_45;greenfield;False;False;False
facil_46;36,55791685643501;69,62513789038837;10,157;0;facil_46;greenfield;False;False;False
facil_47;36,02375019190501;69,24763789189836;57,091;0;facil_47;greenfield;False;False;False
facil_48;36,01125019195501;69,25013789188837;50,786;0;facil_48;greenfield;False;False;False
facil_49;36,14791685807501;69,06680455928837;1227,276;0;facil_49;greenfield;False;False;False
facil_50;36,081250191675004;69,11430455909837;834,296;0;facil_50;greenfield;False;False;False
facil_51;36,047916858475006;69,03013789276837;237,469;0;facil_51;greenfield;False;False;False
facil_52;36,592916856295005;70,03347122208837;300,164;0;facil_52;greenfield;False;False;False
facil_53;36,29875019080501;69,19180455878836;1295,575;0;facil_53;greenfield;False;False;False
facil_54;36,47125019011501;68,99013789292837;94,217;0;facil_54;greenfield;False;False;False
facil_55;36,28958352417501;68,84513789350837;24,167;0;facil_55;greenfield;False;False;False
facil_56;36,37958352381501;68,94180455978837;134,146;0;facil_56;greenfield;False;False;False
facil_57;36,037916858515004;69,11347122576836;611,887;0;facil_57;greenfield;False;False;False
facil_58;36,127083524825004;69,17430455885837;964,589;0;facil_58;greenfield;False;False;False
facil_59;36,16791685799501;69,17763789217837;1301,179;0;facil_59;greenfield;False;False;False
facil_60;36,28791685751501;69,03263789275837;1210,464;0;facil_60;greenfield;False;False;False
facil_61;36,50958352329501;70,18263788815837;3,152;0;facil_61;greenfield;False;False;False
facil_62;36,70875018916501;69,63347122368836;39,578;0;facil_62;greenfield;False;False;False
facil_63;35,96625019213501;68,97430455965836;28,72;0;facil_63;greenfield;False;False;False
facil_64;36,450416856865004;68,88513789334837;46,933;0;facil_64;greenfield;False;False;False
facil_65;36,14625019141501;69,18763789213837;1277,012;0;facil_65;greenfield;False;False;False
facil_66;36,722916855775004;69,85263788947836;265,84;0;facil_66;greenfield;False;False;False
facil_67;36,222083524445004;69,05013789268837;1212,566;0;facil_67;greenfield;False;False;False
facil_68;36,323750190705006;68,85097122681836;59,192;0;facil_68;greenfield;False;False;False
facil_69;36,168750191325;69,09847122582836;1328,148;0;facil_69;greenfield;False;False;False
facil_70;36,60958352289501;70,01597122215837;354,803;0;facil_70;greenfield;False;False;False
facil_71;36,267916857595004;69,95597122239836;65,847;0;facil_71;greenfield;False;False;False
facil_72;36,10375019158501;69,12763789237837;1202,058;0;facil_72;greenfield;False;False;False
facil_73;36,217916857795004;68,91347122656836;1,751;0;facil_73;greenfield;False;False;False
facil_74;36,74125018903501;69,99597122223837;22,766;0;facil_74;greenfield;False;False;False
facil_75;36,357083523905004;68,85430456013836;71,801;0;facil_75;greenfield;False;False;False
facil_76;36,212916857815;69,08347122588836;1322,894;0;facil_76;greenfield;False;False;False
facil_77;36,812083522085004;70,05680455532837;19,964;0;facil_77;greenfield;False;False;False
facil_78;36,37875019048501;69,12097122573837;1174,038;0;facil_78;greenfield;False;False;False
facil_79;36,94041685490501;70,02180455546836;0,35;0;facil_79;greenfield;False;False;False
facil_80;36,551250189795006;69,62513789038837;6,304;0;facil_80;greenfield;False;False;False
facil_81;36,075416858365;68,96180455970837;67,948;0;facil_81;greenfield;False;False;False
facil_82;35,907916859035005;68,95013789308837;5,254;0;facil_82;greenfield;False;False;False
facil_83;36,51625018993501;69,57513789058837;4,553;0;facil_83;greenfield;False;False;False
facil_84;36,66041685602501;69,65263789027837;126,44;0;facil_84;greenfield;False;False;False
facil_85;36,140416858105006;69,13680455900837;1312,037;0;facil_85;greenfield;False;False;False
facil_86;36,69291685589501;69,72347122332837;140,1;0;facil_86;greenfield;False;False;False
facil_87;36,38291685713501;68,89347122664836;59,192;0;facil_87;greenfield;False;False;False
facil_88;36,032916858535;69,10263789247837;453,924;0;facil_88;greenfield;False;False;False
facil_89;36,440416856905;68,91263789323837;58,492;0;facil_89;greenfield;False;False;False
facil_90;36,70958352249501;69,83013788956836;356,204;0;facil_90;greenfield;False;False;False
facil_91;36,10458352491501;69,52347122412837;543,238;0;facil_91;greenfield;False;False;False
facil_92;36,226250191095005;68,95763789305836;726,769;0;facil_92;greenfield;False;False;False
facil_93;36,273750190905005;68,94180455978837;498,406;0;facil_93;greenfield;False;False;False
facil_94;36,359583523895004;69,02513789278836;415,396;0;facil_94;greenfield;False;False;False
