Name;Supply Factor;Covering Duration (hours);Helicopter Speed;Ground Speed;Depot Candidates;Depot Capacity Percentage;Route Cost Scaling Factor;#Depots;#Facilities;#Unique Facilities;#Customers;#Modeled Individuals;Total Demand;Aircraft Type;p;Best solution total cost;Best solution routing cost;Best solution covering cost;Best solution unique facility count;Best solution longest route length;Best solution route lengths;Best solution nonempty routes;Best solution nonsingle routes;Best solution VNS iterations
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS0;1;3;150;10;all;1;0,0;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS10;1;3;150;10;all;1;589,0509637635001;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS100;1;3;150;10;all;1;5890,509637635002;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS15;1;3;150;10;all;1;883,5764456452503;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS20;1;3;150;10;all;1;1178,1019275270003;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS25;1;3;150;10;all;1;1472,6274094087505;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS30;1;3;150;10;all;1;1767,1528912905005;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS35;1;3;150;10;all;1;2061,6783731722508;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS40;1;3;150;10;all;1;2356,2038550540005;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS45;1;3;150;10;all;1;2650,729336935751;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS5;1;3;150;10;all;1;294,52548188175007;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS50;1;3;150;10;all;1;2945,254818817501;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS55;1;3;150;10;all;1;3239,780300699251;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS60;1;3;150;10;all;1;3534,305782581001;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS65;1;3;150;10;all;1;3828,8312644627513;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS70;1;3;150;10;all;1;4123,3567463445015;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS75;1;3;150;10;all;1;4417,882228226251;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS80;1;3;150;10;all;1;4712,407710108001;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS85;1;3;150;10;all;1;5006,933191989751;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS90;1;3;150;10;all;1;5301,458673871502;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
BaghlanTakhar s1_Mi-8_hS150_gS10_dall_dP1_cD3_rcS95;1;3;150;10;all;1;5595,984155753252;12;280;280;766;7406;3458,6020000000003;Mi-8;20;;;;;;;;;
