Instance;Lower_bound;Upper_bound
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt2_cD2_sT2_rcS0.5_rmCDTrue;3104,065858;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt2_cD3_sT2_rcS1_rmCDTrue;3658,78158;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt2_cD3_sT3_rcS1_rmCDTrue;3893,545753;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt2_cD4_sT4_rcS1_rmCDTrue;3920,666029;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt4_cD2_sT2_rcS0.5_rmCDTrue;3014,030874;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt4_cD3_sT2_rcS0.5_rmCDTrue;3007,855309;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt4_cD3_sT3_rcS0.5_rmCDTrue;3229,810022;10000000000
Baghlan ai0.75_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt4_cD4_sT3_rcS1_rmCDTrue;3877,396803;10000000000
Baghlan ai1_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt3_cD4_sT2_rcS1_rmCDTrue;4103,662846;10000000000
Baghlan ai1_Mi-8_p28_hS150_gS4_dall_dP1_fCap200_vCnt3_cD4_sT3_rcS0.1_rmCDTrue;2910,066952;10000000000
