Instance;Lower_bound;Upper_bound
s10k20m1-alpha0.25;430,25;462,75
s10k20m1-alpha0.5;367,08333333333326;422,0
s10k20m1-alpha0.75;215,375;316,75
s10k20m2-alpha0.25;405,0;448,25
s10k20m2-alpha0.5;332,0;409,0
s10k20m2-alpha0.75;216,625;317,75
s10k20m3-alpha0.25;325,25;381,25
s10k20m3-alpha0.5;261,24999999999994;380,0
s10k20m3-alpha0.75;166,625;303,0
s10k20m4-alpha0.25;455,25;493,25
s10k20m4-alpha0.5;382,25;459,5
s10k20m4-alpha0.75;242,0625;365,5
s10k20m5-alpha0.25;300,5;376,5
s10k20m5-alpha0.5;252,0;389,5
s10k20m5-alpha0.75;175,25;372,5
s10k30m1-alpha0.25;542,0;586,5
s10k30m1-alpha0.5;444,75;534,0
s10k30m1-alpha0.75;313,58333333333326;429,5
s10k30m2-alpha0.25;576,5;630,0
s10k30m2-alpha0.5;451,0;553,0
s10k30m2-alpha0.75;289,25;439,0
s10k30m3-alpha0.25;437,25;503,75
s10k30m3-alpha0.5;356,75;490,5
s10k30m3-alpha0.75;221,375;430,25
s10k30m4-alpha0.25;667,5;750,75
s10k30m4-alpha0.5;489,0;642,0
s10k30m4-alpha0.75;269,0;471,25
s10k30m5-alpha0.25;469,25;576,5
s10k30m5-alpha0.5;365,25;567,5
s10k30m5-alpha0.75;244,125;505,5
s10k40m1-alpha0.25;774,7499999999995;850,25
s10k40m1-alpha0.5;601,75;731,0
s10k40m1-alpha0.75;405,06250000000006;591,25
s10k40m2-alpha0.25;767,4999999999999;856,75
s10k40m2-alpha0.5;580,75;732,5
s10k40m2-alpha0.75;374,625;565,5
s10k40m3-alpha0.25;846,75;923,75
s10k40m3-alpha0.5;650,5;793,5
s10k40m3-alpha0.75;427,75;625,0
s10k40m4-alpha0.25;614,0;730,25
s10k40m4-alpha0.5;472,5;690,5
s10k40m4-alpha0.75;305,125;579,75
s10k40m5-alpha0.25;780,0;855,5
s10k40m5-alpha0.5;593,0;737,5
s10k40m5-alpha0.75;361,5;568,0
s10k50m1-alpha0.25;1031,75;1134,0
s10k50m1-alpha0.5;787,5;996,5
s10k50m1-alpha0.75;495,58333333333337;826,25
s10k50m2-alpha0.25;950,4999999999987;1077,75
s10k50m2-alpha0.5;703,25;914,0
s10k50m2-alpha0.75;441,0;712,25
s10k50m3-alpha0.25;755,2500000000002;852,75
s10k50m3-alpha0.5;585,5000000000001;769,5
s10k50m3-alpha0.75;377,625;649,0
s10k50m4-alpha0.25;946,5000000000002;1044,5
s10k50m4-alpha0.5;711,0;894,5
s10k50m4-alpha0.75;431,00000000000006;696,5
s10k50m5-alpha0.25;896,0;995,5
s10k50m5-alpha0.5;670,0;863,0
s10k50m5-alpha0.75;407,125;692,25
s25k20m1-alpha0.25;271,0;328,25
s25k20m1-alpha0.5;223,0;340,0
s25k20m1-alpha0.75;142,25;277,25
s25k20m2-alpha0.25;258,5;306,25
s25k20m2-alpha0.5;216,4375;334,0
s25k20m2-alpha0.75;145,75;269,5
s25k20m3-alpha0.25;297,875;366,5
s25k20m3-alpha0.5;251,875;383,0
s25k20m3-alpha0.75;163,375;307,5
s25k20m4-alpha0.25;266,62500000000006;315,25
s25k20m4-alpha0.5;238,0833333333334;341,5
s25k20m4-alpha0.75;153,875;289,0
s25k20m5-alpha0.25;262,0;310,0
s25k20m5-alpha0.5;233,25;337,5
s25k20m5-alpha0.75;159,9375;286,75
s25k30m1-alpha0.25;366,125;420,5
s25k30m1-alpha0.5;323,2500000000001;447,0
s25k30m1-alpha0.75;244,47916666666663;390,0
s25k30m2-alpha0.25;348,5;413,75
s25k30m2-alpha0.5;295,16666666666674;448,5
s25k30m2-alpha0.75;196,25;418,75
s25k30m3-alpha0.25;335,0;518,25
s25k30m3-alpha0.5;288,0;527,0
s25k30m3-alpha0.75;195,0;440,25
s25k30m4-alpha0.25;410,25;437,25
s25k30m4-alpha0.5;360,3333333333332;491,0
s25k30m4-alpha0.75;239,25;431,25
s25k30m5-alpha0.25;438,625;470,75
s25k30m5-alpha0.5;349,75;482,0
s25k30m5-alpha0.75;221,29166666666677;403,0
s25k40m1-alpha0.25;448,0;513,25
s25k40m1-alpha0.5;392,3333333333333;537,0
s25k40m1-alpha0.75;289,25;486,25
s25k40m2-alpha0.25;462,0;567,25
s25k40m2-alpha0.5;388,5;597,5
s25k40m2-alpha0.75;251,875;530,0
s25k40m3-alpha0.25;427,5;546,25
s25k40m3-alpha0.5;361,2500000000001;580,5
s25k40m3-alpha0.75;238,04166666666657;531,5
s25k40m4-alpha0.25;561,75;644,5
s25k40m4-alpha0.5;468,5;626,0
s25k40m4-alpha0.75;310,99999999999983;516,25
