Instance;Lower_bound;Upper_bound
A1-1-25-75-4-250;12182;12182
A1-1-25-75-4-500;12182;12182
A1-1-25-75-5-250;12182;12182
A1-1-25-75-5-500;12182;12182
A1-1-25-75-6-250;12182;12182
A1-1-25-75-6-500;12182;12182
A1-1-25-75-8-250;12182;12182
A1-1-25-75-8-500;12182;12182
A1-1-50-50-4-250;12685;12685
A1-1-50-50-4-500;10271;10271
A1-1-50-50-5-250;12685;12685
A1-1-50-50-5-500;9220;9220
A1-1-50-50-6-250;12685;12685
A1-1-50-50-6-500;9220;9220
A1-1-50-50-8-250;12685;12685
A1-1-50-50-8-500;9220;9220
A1-10-50-50-4-250;18241;18241
A1-10-50-50-4-500;18241;18241
A1-10-50-50-5-250;15440;15440
A1-10-50-50-5-500;15440;15440
A1-10-50-50-6-250;14916;14916
A1-10-50-50-6-500;14550;14550
A1-10-50-50-8-250;14206;14206
A1-10-50-50-8-500;14206;14206
A1-5-25-75-4-250;15194;15194
A1-5-25-75-4-500;12558;12558
A1-5-25-75-5-250;15194;15194
A1-5-25-75-5-500;12558;12558
A1-5-25-75-6-250;15194;15194
A1-5-25-75-6-500;12558;12558
A1-5-25-75-8-250;15194;15194
A1-5-25-75-8-500;12558;12558
A2-1-100-100-4-250;12701;12701
A2-1-100-100-4-500;11885;11885
A2-1-100-100-5-250;10618;10618
A2-1-100-100-5-500;10234;10234
A2-1-100-100-6-250;10186;10186
A2-1-100-100-6-500;10020;10020
A2-1-100-100-8-250;9924;9924
A2-1-100-100-8-500;9924;9924
A2-1-50-150-4-250;12039;12039
A2-1-50-150-4-500;11612;11612
A2-1-50-150-5-250;11024;11024
A2-1-50-150-5-500;11024;11024
A2-1-50-150-6-250;11022;11022
A2-1-50-150-6-500;11022;11022
A2-1-50-150-8-250;11022;11022
A2-1-50-150-8-500;9234;9234
A2-10-50-150-4-250;17083;17083
A2-10-50-150-4-500;17083;17083
A2-10-50-150-5-250;14977;14977
A2-10-50-150-5-500;14977;14977
A2-10-50-150-6-250;14370;14370
A2-10-50-150-6-500;13894;13894
A2-10-50-150-8-250;14370;14370
A2-10-50-150-8-500;12179;12179
A2-20-100-100-4-250;26649;26649
A2-20-100-100-4-500;26594;26594
A2-20-100-100-5-250;23521;23521
A2-20-100-100-5-500;23419;23419
A2-20-100-100-6-250;21623;21623
A2-20-100-100-6-500;20966;20966
A2-20-100-100-8-250;19346;19346
A2-20-100-100-8-500;18458;18458
B1-1-25-75-4-250;7146;7146
B1-1-25-75-4-500;7146;7146
B1-1-25-75-5-250;7114;7114
B1-1-25-75-5-500;6901;6901
B1-1-25-75-6-250;7114;7114
B1-1-25-75-6-500;6450;6450
B1-1-25-75-8-250;7114;7114
B1-1-25-75-8-500;6450;6450
B1-1-50-50-4-250;10107;10107
B1-1-50-50-4-500;10107;10107
B1-1-50-50-5-250;9723;9723
B1-1-50-50-5-500;9723;9723
B1-1-50-50-6-250;9382;9382
B1-1-50-50-6-500;9382;9382
B1-1-50-50-8-250;9234;9234
B1-1-50-50-8-500;9234;9234
B1-10-50-50-4-250;15209;15209
B1-10-50-50-4-500;15209;15209
B1-10-50-50-5-250;13535;13535
B1-10-50-50-5-500;13535;13535
B1-10-50-50-6-250;12067;12067
B1-10-50-50-6-500;12067;12067
B1-10-50-50-8-250;10344;10344
B1-10-50-50-8-500;10344;10344
B1-5-25-75-4-250;9465;9465
B1-5-25-75-4-500;9465;9465
B1-5-25-75-5-250;9460;9460
B1-5-25-75-5-500;9460;9460
B1-5-25-75-6-250;9460;9460
B1-5-25-75-6-500;9460;9460
B1-5-25-75-8-250;9460;9460
B1-5-25-75-8-500;9460;9460
B2-1-100-100-4-250;18650;18650
B2-1-100-100-4-500;18650;18650
B2-1-100-100-5-250;16572;16572
B2-1-100-100-5-500;16325;16325
B2-1-100-100-6-250;25452;25452
B2-1-100-100-6-500;15010;15010
B2-1-100-100-8-250;13208;15312
B2-1-100-100-8-500;13292;13292
B2-1-50-150-4-250;11175;11175
B2-1-50-150-4-500;11175;11175
B2-1-50-150-5-250;10585;10585
B2-1-50-150-5-500;10585;10585
B2-1-50-150-6-250;9799;9799
B2-1-50-150-6-500;9799;9799
B2-1-50-150-8-250;9362;9362
B2-1-50-150-8-500;9362;9362
B2-10-50-150-4-250;16667;16667
B2-10-50-150-4-500;16667;16667
B2-10-50-150-5-250;14188;14188
B2-10-50-150-5-500;14188;14188
B2-10-50-150-6-250;12954;12954
B2-10-50-150-6-500;12954;12954
B2-10-50-150-8-250;11495;11495
B2-10-50-150-8-500;11495;11495
B2-20-100-100-4-250;34062;34062
B2-20-100-100-4-500;34062;34062
B2-20-100-100-5-250;29405;29405
B2-20-100-100-5-500;29405;29405
B2-20-100-100-6-250;25960;25960
B2-20-100-100-6-500;25960;25960
B2-20-100-100-8-250;22082;22082
B2-20-100-100-8-500;22082;22082
C1-1-25-75-4-250;7420;7420
C1-1-25-75-4-500;7420;7420
C1-1-25-75-5-250;7420;7420
C1-1-25-75-5-500;7420;7420
C1-1-25-75-6-250;7420;7420
C1-1-25-75-6-500;7420;7420
C1-1-25-75-8-250;7420;7420
C1-1-25-75-8-500;7420;7420
C1-1-50-50-4-250;11372;11372
C1-1-50-50-4-500;11372;11372
C1-1-50-50-5-250;9900;9900
C1-1-50-50-5-500;9900;9900
C1-1-50-50-6-250;9895;9895
C1-1-50-50-6-500;9895;9895
C1-1-50-50-8-250;9895;9895
C1-1-50-50-8-500;9895;9895
C1-10-50-50-4-250;18212;18212
C1-10-50-50-4-500;18212;18212
C1-10-50-50-5-250;16362;16362
C1-10-50-50-5-500;16362;16362
C1-10-50-50-6-250;15164;15164
C1-10-50-50-6-500;14749;14749
C1-10-50-50-8-250;15164;15164
C1-10-50-50-8-500;14683;14683
C1-5-25-75-4-250;11934;11934
