Instance;Lower_bound;Upper_bound
A1-1-25-75-4;8479;8479
A1-1-25-75-5;8479;8479
A1-1-25-75-6;8479;8479
A1-1-25-75-8;7985;7985
A1-1-50-50-4;10271;10271
A1-1-50-50-5;9220;9220
A1-1-50-50-6;9130;9130
A1-1-50-50-8;9130;9130
A1-10-50-50-4;17953;17953
A1-10-50-50-5;15440;15440
A1-10-50-50-6;14064;14064
A1-10-50-50-8;13369;13369
A1-5-25-75-4;10827;10827
A1-5-25-75-5;8659;8659
A1-5-25-75-6;8659;8659
A1-5-25-75-8;8265;8265
A2-1-100-100-4;11885;11885
A2-1-100-100-5;10234;10234
A2-1-100-100-6;10020;10020
A2-1-100-100-8;9093;9093
A2-1-50-150-4;11550;11550
A2-1-50-150-5;10407;10407
A2-1-50-150-6;10068;10068
A2-1-50-150-8;8896;8896
A2-10-50-150-4;17083;17083
A2-10-50-150-5;14977;14977
A2-10-50-150-6;13894;13894
A2-10-50-150-8;11942;11942
A2-20-100-100-4;26594;26594
A2-20-100-100-5;23419;23419
A2-20-100-100-6;20966;20966
A2-20-100-100-8;18415;18415
B1-1-25-75-4;7146;7146
B1-1-25-75-5;6901;6901
B1-1-25-75-6;6450;6450
B1-1-25-75-8;6450;6450
B1-1-50-50-4;10107;10107
B1-1-50-50-5;9723;9723
B1-1-50-50-6;9382;9382
B1-1-50-50-8;8348;8348
B1-10-50-50-4;15209;15209
B1-10-50-50-5;13535;13535
B1-10-50-50-6;12067;12067
B1-10-50-50-8;10344;10344
B1-5-25-75-4;9465;9465
B1-5-25-75-5;9460;9460
B1-5-25-75-6;9148;9148
B1-5-25-75-8;8306;8306
B2-1-100-100-4;18370;18370
B2-1-100-100-5;15876;15876
B2-1-100-100-6;14867;14867
B2-1-100-100-8;13137;13137
B2-1-50-150-4;11175;11175
B2-1-50-150-5;10502;10502
B2-1-50-150-6;9799;9799
B2-1-50-150-8;8846;8846
B2-10-50-150-4;16667;16667
B2-10-50-150-5;14188;14188
B2-10-50-150-6;12954;12954
B2-10-50-150-8;11495;11495
B2-20-100-100-4;34062;34062
B2-20-100-100-5;29405;29405
B2-20-100-100-6;25960;25960
B2-20-100-100-8;22082;22082
C1-1-25-75-4;6161;6161
C1-1-25-75-5;6161;6161
C1-1-25-75-6;6161;6161
C1-1-25-75-8;6161;6161
C1-1-50-50-4;11372;11372
C1-1-50-50-5;9900;9900
C1-1-50-50-6;9895;9895
C1-1-50-50-8;8699;8699
C1-10-50-50-4;18212;18212
C1-10-50-50-5;16362;16362
C1-10-50-50-6;14749;14749
C1-10-50-50-8;12394;12394
C1-5-25-75-4;9898;9898
C1-5-25-75-5;9707;9707
C1-5-25-75-6;9321;9321
C1-5-25-75-8;7474;7474
D1-1-25-75-4;7671;7671
D1-1-25-75-5;7465;7465
D1-1-25-75-6;6651;6651
D1-1-25-75-8;6651;6651
D1-1-50-50-4;11606;11606
D1-1-50-50-5;10770;10770
D1-1-50-50-6;10525;10525
D1-1-50-50-8;9361;9361
D1-10-50-50-4;20982;20982
D1-10-50-50-5;18576;18576
D1-10-50-50-6;16330;16330
D1-10-50-50-8;14204;14204
D1-5-25-75-4;11820;11820
D1-5-25-75-5;10982;10982
D1-5-25-75-6;9669;9669
D1-5-25-75-8;8200;8200
