Instance;Lower_bound;Upper_bound
X-n101-k25-p5;11838;11838
X-n106-k14-p8;10100;10100
X-n110-k13-p9;9022;9022
X-n115-k10-p12;7895;7895
X-n120-k6-p20;7685;0
X-n125-k30-p5;18157;18157
X-n129-k18-p8;15066;15066
X-n134-k13-p11;4971;4971
X-n139-k10-p14;8783;8783
X-n143-k7-p21;9296;0
X-n148-k46-p4;17831;17831
X-n153-k22-p7;8353;8353
X-n157-k13-p13;6499;0
X-n162-k11-p15;8156;8156
X-n167-k10-p17;12033;0
X-n172-k51-p4;17422;17422
X-n176-k26-p7;24496;0
X-n181-k23-p8;10369;10369
X-n186-k15-p13;13414;13414
X-n190-k8-p24;0;0
X-n195-k51-p4;21177;21177
X-n200-k36-p6;18936;18936
X-n204-k19-p11;11321;11419
X-n209-k16-p14;17678;0
X-n214-k11-p20;5101;0
X-n219-k73-p3;59239;59239
X-n223-k34-p7;19907;19907
X-n228-k23-p10;11080;11343
X-n233-k16-p15;11111;0
X-n237-k14-p17;15875;0
X-n242-k48-p6;37760;0
X-n247-k50-p5;13849;13932
X-n251-k28-p9;18612;18667
X-n256-k16-p16;9594;0
X-n261-k13-p21;15407;0
X-n266-k58-p5;36655;36949
X-n270-k35-p8;15980;0
X-n275-k28-p10;9087;0
X-n280-k17-p17;18398;0
X-n284-k15-p19;8998;0
X-n289-k60-p5;45876;0
X-n294-k50-p6;24600;0
X-n298-k31-p10;19105;0
X-n303-k21-p15;10396;0
X-n308-k13-p24;14437;0
X-n313-k71-p5;36764;0
X-n317-k53-p6;29292;0
X-n322-k28-p12;15982;0
X-n327-k20-p17;15823;0
X-n331-k15-p23;16620;0
X-n336-k84-p4;74143;0
X-n344-k43-p8;21782;0
X-n351-k40-p9;11186;0
X-n359-k29-p13;25015;0
X-n367-k17-p22;10569;0
X-n376-k94-p4;73224;0
X-n384-k52-p8;32083;0
X-n393-k38-p11;17847;0
