Instance;Lower_bound;Upper_bound
X-n101-k25-p5;8070;8070
X-n106-k14-p8;4816;4816
X-n110-k13-p9;7116;7116
X-n115-k10-p12;6309;6309
X-n120-k6-p20;5886;0
X-n125-k30-p5;9520;9520
X-n129-k18-p8;10827;10827
X-n134-k13-p11;2815;2815
X-n139-k10-p14;7222;7222
X-n143-k7-p21;7274;7368
X-n148-k46-p4;11594;11594
X-n153-k22-p7;5137;5137
X-n157-k13-p13;4002;4002
X-n162-k11-p15;6351;6351
X-n167-k10-p17;8855;8855
X-n172-k51-p4;11956;11956
X-n176-k26-p7;16953;17112
X-n181-k23-p8;5556;5671
X-n186-k15-p13;9868;0
X-n190-k8-p24;3241;3241
X-n195-k51-p4;16119;16119
X-n200-k36-p6;8827;8827
X-n204-k19-p11;8641;8641
X-n209-k16-p14;12325;12325
X-n214-k11-p20;3506;0
X-n219-k73-p3;39736;39736
X-n223-k34-p7;13792;13964
X-n228-k23-p10;7381;7520
X-n233-k16-p15;8225;0
X-n237-k14-p17;11800;0
X-n242-k48-p6;22370;0
X-n247-k50-p5;7106;7212
X-n251-k28-p9;13779;0
X-n256-k16-p16;6847;6847
X-n261-k13-p21;10806;0
X-n266-k58-p5;24548;0
X-n270-k35-p8;11205;11336
X-n275-k28-p10;5425;0
X-n280-k17-p17;12602;0
X-n284-k15-p19;0;0
X-n289-k60-p5;30976;0
X-n294-k50-p6;17452;0
X-n298-k31-p10;13349;0
X-n303-k21-p15;7294;0
X-n308-k13-p24;10450;0
X-n313-k71-p5;24159;0
X-n317-k53-p6;14055;0
X-n322-k28-p12;11207;0
X-n327-k20-p17;11507;0
X-n331-k15-p23;12366;0
X-n336-k84-p4;49815;0
X-n344-k43-p8;15529;0
X-n351-k40-p9;7219;0
X-n359-k29-p13;16872;0
X-n367-k17-p22;6731;0
X-n376-k94-p4;47251;0
X-n384-k52-p8;21969;0
X-n393-k38-p11;12639;0
