Instance;lb_new
s40k80m4-alpha0.75;353,9742554858935
s25k20m5-alpha0.75;159,9375
s25k30m3-alpha0.75;196,00609756097563
s10k50m2-alpha0.5;843,2990514936648
s10k50m3-alpha0.5;609,8
s25k50m5-alpha0.75;287,42754975124376
s25k40m3-alpha0.75;243,97476525821602
s40k50m5-alpha0.5;387,6581904412585
s50k80m1-alpha0.25;620,1563888888887
s40k50m4-alpha0.5;401,67768541494326
s35k70m5-alpha0.25;628,5099660633484
s35k60m3-alpha0.25;514,0228205128205
s35k50m2-alpha0.75;282,5155038759689
s10k40m1-alpha0.5;615,2401449275363
s10k50m4-alpha0.25;958,01
s10k40m2-alpha0.25;800,5483333333333
s35k40m4-alpha0.75;234,171875
s35k60m1-alpha0.75;324,3333333333333
s10k20m4-alpha0.25;457,52
s50k80m3-alpha0.75;352,0
s50k90m5-alpha0.75;390,152701573903
s10k30m2-alpha0.25;597,0050000000001
s25k40m1-alpha0.25;450,8724074074074
s25k30m1-alpha0.25;368,2024074074074
s25k40m2-alpha0.5;391,56621031746045
s25k40m3-alpha0.5;368,1928473881871
s40k70m1-alpha0.5;535,1762524550048
s50k60m5-alpha0.25;543,4007175766423
s50k70m3-alpha0.25;621,0245988235108
s40k50m3-alpha0.75;260,0625
s40k60m2-alpha0.25;513,1876974143954
s40k70m4-alpha0.25;581,2190384615385
s40k50m1-alpha0.25;464,47506925498317
s25k50m1-alpha0.5;495,7455877059012
s50k90m4-alpha0.5;569,4811123055301
s50k90m5-alpha0.5;607,9089599169847
s40k60m2-alpha0.5;438,5942962770751
s40k60m3-alpha0.5;474,4466421568627
s50k70m1-alpha0.75;322,4583333333333
s50k60m2-alpha0.5;427,671423692763
s10k20m2-alpha0.25;416,81000000000006
s50k60m3-alpha0.5;417,71813490001324
s50k80m5-alpha0.75;333,90459935897445
s50k90m3-alpha0.75;384,2159591194969
s35k50m1-alpha0.5;423,1638164623648
s10k30m4-alpha0.25;671,2192307692308
s10k50m2-alpha0.25;1035,4850000000001
s35k70m1-alpha0.75;383,387323943662
s35k50m4-alpha0.75;258,625
s35k40m2-alpha0.75;240,45833333333334
s10k40m4-alpha0.25;636,6805555555557
s25k20m1-alpha0.25;273,1928602155087
s25k50m1-alpha0.25;603,6216011315416
s25k50m3-alpha0.75;292,7499999999999
s25k40m5-alpha0.75;277,15131578947364
s10k30m5-alpha0.5;400,92816091954023
s10k30m4-alpha0.5;495,77057142857143
s25k20m3-alpha0.75;163,375
s40k80m2-alpha0.75;353,52042452830204
s50k70m1-alpha0.5;464,3139118745772
s35k40m2-alpha0.5;365,92906064883135
s35k40m3-alpha0.5;337,57331336233347
s25k30m5-alpha0.75;221,29166666666669
s35k70m3-alpha0.25;598,6411538461539
s35k60m5-alpha0.25;648,03179980272
s50k90m1-alpha0.25;688,9454087531352
s40k60m4-alpha0.25;609,4893481180559
s40k70m2-alpha0.25;612,5872695228816
s35k70m5-alpha0.5;555,8364304882033
s35k70m4-alpha0.5;546,9823004581224
s50k60m1-alpha0.75;287,0874999999999
s25k20m5-alpha0.5;233,25
s25k20m4-alpha0.5;238,34735973597355
s50k60m3-alpha0.25;495,80401631931596
s50k70m5-alpha0.25;554,6039894143901
s40k50m5-alpha0.75;242,3435534591195
s10k30m1-alpha0.75;313,5833333333333
s35k50m1-alpha0.25;492,11155622324395
s50k60m5-alpha0.5;450,7937366859152
s35k70m4-alpha0.25;659,2328029776677
s50k60m4-alpha0.5;425,8693863122172
s10k20m1-alpha0.5;367,7633333333333
s10k40m1-alpha0.75;408,5797413793104
s35k60m2-alpha0.25;569,6167475728155
s25k20m4-alpha0.75;153,955
s40k80m5-alpha0.75;361,9500343406594
s25k30m2-alpha0.75;196,24999999999997
s25k50m4-alpha0.75;295,58333333333337
s25k40m2-alpha0.75;251,875
s10k30m2-alpha0.5;482,04999999999995
s40k80m1-alpha0.5;596,0479808483856
s10k30m3-alpha0.5;363,0254994610132
s35k40m5-alpha0.5;378,715373498657
s35k40m4-alpha0.5;373,3082853737001
s10k50m5-alpha0.25;925,99
s35k50m3-alpha0.75;288,08333333333337
s35k40m5-alpha0.75;242,79166666666669
s10k40m3-alpha0.25;854,5229411764707
s10k20m5-alpha0.25;315,3152830188679
s50k80m2-alpha0.75;353,89583333333326
s50k90m4-alpha0.75;371,1687665782492
s10k30m3-alpha0.25;442,46
s25k30m1-alpha0.5;331,2916666666666
s40k60m1-alpha0.75;297,0
s40k50m2-alpha0.75;256,375
s35k70m2-alpha0.5;560,7908265700898
s50k60m4-alpha0.25;483,97028075904683
s35k70m3-alpha0.5;505,50101539990095
s50k70m2-alpha0.25;558,4694300151156
s25k20m2-alpha0.5;216,7284482758621
s25k20m3-alpha0.5;253,135
s40k60m3-alpha0.25;531,6201974095476
s35k60m1-alpha0.5;490,8170588235293
s40k70m5-alpha0.25;574,5456116859402
s10k50m5-alpha0.5;712,5702785211618
s40k80m1-alpha0.25;726,0194520174226
s10k50m4-alpha0.5;725,6739946063301
s10k20m3-alpha0.25;329,8990909090909
s50k80m4-alpha0.75;343,45542452830193
s50k90m2-alpha0.75;412,9583333333333
s10k30m5-alpha0.25;493,6004310344827
s40k50m2-alpha0.5;368,5657555824823
s40k50m3-alpha0.5;405,1007743743881
s35k50m5-alpha0.75;245,150406504065
s10k50m3-alpha0.25;769,4238181818182
s10k40m5-alpha0.25;787,9
s35k40m3-alpha0.75;220,62499999999997
s10k50m1-alpha0.75;504,80120552632485
s35k70m2-alpha0.25;642,4404419974828
s35k60m4-alpha0.25;594,2109985754986
s35k40m1-alpha0.25;420,065131302521
s10k20m1-alpha0.75;215,51500000000001
s25k50m2-alpha0.75;312,29878048780483
s25k40m4-alpha0.75;311,03879310344826
s40k80m3-alpha0.75;372,7719104176371
s25k20m2-alpha0.75;145,75
s25k30m4-alpha0.75;239,25
s25k40m5-alpha0.5;433,17550324675324
s25k40m4-alpha0.5;472,0772727272728
s50k80m1-alpha0.5;504,56602887308776
s40k60m5-alpha0.25;576,1598476594028
s40k70m3-alpha0.25;645,3795325096154
s50k90m3-alpha0.5;601,0165146455364
s50k90m2-alpha0.5;637,3728281990559
s40k50m4-alpha0.75;242,125
s40k70m1-alpha0.75;365,39263537009435
s40k60m5-alpha0.5;471,9176729273281
s40k60m4-alpha0.5;492,5481641920107
s50k60m2-alpha0.25;490,96711167198526
s50k70m4-alpha0.25;559,34626401631
s35k60m3-alpha0.75;295,2916666666667
s35k70m5-alpha0.75;369,801747311828
s25k30m4-alpha0.5;363,0760233918129
