Name;Latitude;Longitude;Capacity
facil_1;54,0;38,0;43,0
facil_2;32,0;-44,0;43,0
facil_3;-11,0;-37,0;43,0
facil_4;13,0;69,0;43,0
facil_5;7,0;-56,0;43,0
facil_6;33,0;-33,0;43,0
facil_7;62,0;15,0;43,0
facil_8;33,0;-43,0;43,0
facil_9;-31,0;-26,0;43,0
facil_10;-5,0;47,0;43,0
facil_11;29,0;4,0;43,0
facil_12;-56,0;38,0;43,0
facil_13;-41,0;1,0;43,0
facil_14;-38,0;-37,0;43,0
facil_15;45,0;49,0;43,0
facil_16;39,0;-19,0;43,0
facil_17;-69,0;-6,0;43,0
facil_18;28,0;-21,0;43,0
facil_19;13,0;27,0;43,0
facil_20;-41,0;10,0;43,0
facil_21;-59,0;14,0;43,0
facil_22;-60,0;25,0;43,0
facil_23;-37,0;2,0;43,0
facil_24;34,0;25,0;43,0
facil_25;10,0;36,0;43,0
