Name;Latitude;Longitude;Demand
cust_1;-34,0;11,0;1,0
cust_2;22,0;-68,0;2,0
cust_3;-64,0;-24,0;2,0
cust_4;38,0;55,0;4,0
cust_5;42,0;-20,0;4,0
cust_6;51,0;-40,0;1,0
cust_7;36,0;-53,0;3,0
cust_8;-27,0;-6,0;5,0
cust_9;43,0;49,0;5,0
cust_10;-9,0;63,0;4,0
cust_11;-48,0;13,0;1,0
cust_12;-38,0;-2,0;2,0
cust_13;-54,0;18,0;5,0
cust_14;-22,0;-30,0;2,0
cust_15;11,0;37,0;1,0
cust_16;-44,0;-53,0;1,0
cust_17;53,0;-45,0;1,0
cust_18;-7,0;-27,0;3,0
cust_19;21,0;33,0;1,0
cust_20;-48,0;53,0;1,0
cust_21;-42,0;-61,0;1,0
cust_22;48,0;-41,0;1,0
cust_23;-7,0;-68,0;1,0
cust_24;-45,0;5,0;2,0
cust_25;25,0;68,0;1,0
cust_26;22,0;46,0;1,0
cust_27;3,0;54,0;1,0
cust_28;-73,0;11,0;4,0
cust_29;-74,0;6,0;5,0
cust_30;-9,0;-55,0;2,0
cust_31;-12,0;64,0;1,0
cust_32;61,0;40,0;1,0
cust_33;-12,0;-36,0;1,0
cust_34;19,0;72,0;1,0
cust_35;-41,0;6,0;4,0
cust_36;-25,0;-31,0;1,0
cust_37;-49,0;43,0;2,0
cust_38;43,0;21,0;1,0
cust_39;57,0;23,0;2,0
cust_40;11,0;67,0;1,0
cust_41;4,0;68,0;3,0
cust_42;-24,0;-53,0;1,0
cust_43;-32,0;53,0;2,0
cust_44;-24,0;14,0;1,0
cust_45;-36,0;-51,0;3,0
cust_46;-30,0;-37,0;2,0
cust_47;4,0;59,0;2,0
cust_48;27,0;16,0;2,0
cust_49;-12,0;38,0;1,0
cust_50;12,0;34,0;1,0
