Name;Latitude;Longitude;Capacity
facil_1;2650,0;802,0;2
facil_2;1774,0;107,0;2
facil_3;1307,0;964,0;2
facil_4;3806,0;746,0;2
facil_5;2687,0;1353,0;2
facil_6;43,0;1957,0;2
facil_7;3092,0;1668,0;2
facil_8;185,0;1542,0;2
facil_9;834,0;629,0;2
facil_10;40,0;462,0;28
facil_11;1183,0;1391,0;38
facil_12;2048,0;1628,0;43
facil_13;1097,0;643,0;40
facil_14;1838,0;1732,0;40
facil_15;234,0;1118,0;39
facil_16;3314,0;1881,0;33
facil_17;737,0;1285,0;44
facil_18;779,0;777,0;50
facil_19;2312,0;1949,0;31
facil_20;2576,0;189,0;27
facil_21;3078,0;1541,0;47
facil_22;2781,0;478,0;34
facil_23;705,0;1812,0;29
facil_24;3409,0;1917,0;32
facil_25;323,0;1714,0;25
facil_26;1660,0;1556,0;37
facil_27;3729,0;1188,0;34
facil_28;693,0;1383,0;42
facil_29;2361,0;640,0;37
facil_30;2433,0;1538,0;39
facil_31;554,0;1825,0;25
facil_32;913,0;317,0;37
facil_33;3586,0;1909,0;24
facil_34;2636,0;727,0;41
facil_35;1000,0;457,0;38
facil_36;482,0;1337,0;37
facil_37;3704,0;1082,0;38
facil_38;3635,0;1174,0;38
facil_39;1362,0;1526,0;35
facil_40;2049,0;417,0;31
facil_41;2552,0;1909,0;31
facil_42;3939,0;640,0;28
facil_43;219,0;898,0;42
facil_44;812,0;351,0;42
facil_45;901,0;1552,0;40
facil_46;2513,0;1572,0;42
facil_47;242,0;584,0;38
facil_48;826,0;1226,0;48
facil_49;3278,0;799,0;53
