Name;Latitude;Longitude;Capacity
facil_1;556,0;1056,0;2
facil_2;3675,0;1522,0;2
facil_3;1182,0;1853,0;2
facil_4;3595,0;111,0;2
facil_5;962,0;1895,0;2
facil_6;2030,0;1186,0;2
facil_7;3507,0;1851,0;2
facil_8;2642,0;1269,0;2
facil_9;3438,0;901,0;2
facil_10;3858,0;1472,0;13
facil_11;2937,0;1568,0;13
facil_12;376,0;1018,0;8
facil_13;839,0;1355,0;9
facil_14;706,0;1925,0;5
facil_15;749,0;920,0;11
facil_16;298,0;615,0;6
facil_17;694,0;552,0;7
facil_18;387,0;190,0;5
facil_19;2801,0;695,0;14
facil_20;3133,0;1143,0;12
facil_21;1517,0;266,0;6
facil_22;1538,0;224,0;6
facil_23;844,0;520,0;7
facil_24;2639,0;1239,0;14
facil_25;3123,0;217,0;13
facil_26;2489,0;1520,0;13
facil_27;3834,0;1827,0;11
facil_28;3417,0;1808,0;12
facil_29;2938,0;543,0;14
facil_30;71,0;1323,0;6
facil_31;3245,0;1828,0;11
facil_32;731,0;1741,0;8
facil_33;2312,0;1270,0;14
facil_34;2426,0;1851,0;10
facil_35;380,0;478,0;6
facil_36;2310,0;635,0;14
facil_37;2830,0;775,0;16
facil_38;3829,0;513,0;10
facil_39;3684,0;445,0;13
facil_40;171,0;514,0;6
facil_41;627,0;1261,0;8
facil_42;1490,0;1123,0;16
facil_43;61,0;81,0;3
facil_44;422,0;542,0;6
facil_45;2698,0;1221,0;15
facil_46;2372,0;127,0;11
facil_47;177,0;1390,0;6
facil_48;3084,0;748,0;15
facil_49;1213,0;910,0;13
