Name;Latitude;Longitude;Demand
cust_1;556,0;1056,0;1
cust_2;3675,0;1522,0;1
cust_3;1182,0;1853,0;1
cust_4;3595,0;111,0;1
cust_5;962,0;1895,0;1
cust_6;2030,0;1186,0;1
cust_7;3507,0;1851,0;1
cust_8;2642,0;1269,0;1
cust_9;3438,0;901,0;1
cust_10;3,0;1817,0;1
cust_11;1782,0;995,0;1
cust_12;3896,0;742,0;1
cust_13;1829,0;812,0;1
cust_14;1286,0;550,0;1
cust_15;3017,0;108,0;1
cust_16;2132,0;1432,0;1
cust_17;2000,0;1110,0;1
cust_18;3317,0;1966,0;1
cust_19;1729,0;1498,0;1
cust_20;2408,0;1747,0;1
cust_21;3292,0;152,0;1
cust_22;193,0;1210,0;1
cust_23;782,0;1462,0;1
cust_24;2503,0;352,0;1
cust_25;1697,0;1924,0;1
cust_26;3821,0;147,0;1
cust_27;3370,0;791,0;1
cust_28;3162,0;367,0;1
cust_29;3938,0;516,0;1
cust_30;2741,0;1583,0;1
cust_31;2330,0;741,0;1
cust_32;3918,0;1088,0;1
cust_33;1794,0;1589,0;1
cust_34;2929,0;485,0;1
cust_35;3453,0;1998,0;1
cust_36;896,0;705,0;1
cust_37;399,0;850,0;1
cust_38;2614,0;195,0;1
cust_39;2800,0;653,0;1
cust_40;2630,0;20,0;1
cust_41;563,0;1513,0;1
cust_42;1090,0;1652,0;1
cust_43;2009,0;1163,0;1
cust_44;3876,0;1165,0;1
cust_45;3084,0;774,0;1
cust_46;1526,0;1612,0;1
cust_47;1612,0;328,0;1
cust_48;1423,0;1322,0;1
cust_49;3058,0;1276,0;1
cust_50;3782,0;1865,0;1
cust_51;347,0;252,0;1
cust_52;3904,0;1444,0;1
cust_53;2191,0;1579,0;1
cust_54;3220,0;1454,0;1
cust_55;468,0;319,0;1
cust_56;3611,0;1968,0;1
cust_57;3114,0;1629,0;1
cust_58;3515,0;1892,0;1
cust_59;3060,0;155,0;1
