Name;Latitude;Longitude;Demand
cust_1;323,0;1714,0;1
cust_2;1660,0;1556,0;1
cust_3;3729,0;1188,0;1
cust_4;693,0;1383,0;1
cust_5;2361,0;640,0;1
cust_6;2433,0;1538,0;1
cust_7;554,0;1825,0;1
cust_8;913,0;317,0;1
cust_9;3586,0;1909,0;1
cust_10;2636,0;727,0;1
cust_11;1000,0;457,0;1
cust_12;482,0;1337,0;1
cust_13;3704,0;1082,0;1
cust_14;3635,0;1174,0;1
cust_15;1362,0;1526,0;1
cust_16;2049,0;417,0;1
cust_17;2552,0;1909,0;1
cust_18;3939,0;640,0;1
cust_19;219,0;898,0;1
cust_20;812,0;351,0;1
cust_21;901,0;1552,0;1
cust_22;2513,0;1572,0;1
cust_23;242,0;584,0;1
cust_24;826,0;1226,0;1
cust_25;3278,0;799,0;1
cust_26;86,0;1065,0;1
cust_27;14,0;454,0;1
cust_28;1327,0;1893,0;1
cust_29;2773,0;1286,0;1
cust_30;2469,0;1838,0;1
cust_31;3835,0;963,0;1
cust_32;1031,0;428,0;1
cust_33;3853,0;1712,0;1
cust_34;1868,0;197,0;1
cust_35;1544,0;863,0;1
cust_36;457,0;1607,0;1
cust_37;3174,0;1064,0;1
cust_38;192,0;1004,0;1
cust_39;2318,0;1925,0;1
cust_40;2232,0;1374,0;1
cust_41;396,0;828,0;1
cust_42;2365,0;1649,0;1
cust_43;2499,0;658,0;1
cust_44;1410,0;307,0;1
cust_45;2990,0;214,0;1
cust_46;3646,0;1018,0;1
cust_47;3394,0;1028,0;1
cust_48;1779,0;90,0;1
cust_49;1058,0;372,0;1
cust_50;2933,0;1459,0;1
cust_51;3099,0;173,0;1
cust_52;2178,0;978,0;1
cust_53;138,0;1610,0;1
cust_54;2082,0;1753,0;1
cust_55;2302,0;1127,0;1
cust_56;805,0;272,0;1
cust_57;22,0;1617,0;1
cust_58;3213,0;1085,0;1
cust_59;99,0;536,0;1
cust_60;1533,0;1780,0;1
cust_61;3564,0;676,0;1
cust_62;29,0;6,0;1
cust_63;3808,0;1375,0;1
cust_64;2221,0;291,0;1
cust_65;3499,0;1885,0;1
cust_66;3124,0;408,0;1
cust_67;781,0;671,0;1
cust_68;1027,0;1041,0;1
cust_69;3249,0;378,0;1
cust_70;3297,0;491,0;1
cust_71;213,0;220,0;1
cust_72;721,0;186,0;1
cust_73;3736,0;1542,0;1
cust_74;868,0;731,0;1
cust_75;960,0;303,0;1
