Name;Latitude;Longitude;Capacity
facil_1;2650,0;802,0;7
facil_2;1774,0;107,0;5
facil_3;1307,0;964,0;6
facil_4;3806,0;746,0;6
facil_5;2687,0;1353,0;9
facil_6;43,0;1957,0;4
facil_7;3092,0;1668,0;6
facil_8;185,0;1542,0;6
facil_9;834,0;629,0;10
facil_10;40,0;462,0;8
facil_11;1183,0;1391,0;4
facil_12;2048,0;1628,0;8
facil_13;1097,0;643,0;11
facil_14;1838,0;1732,0;7
facil_15;234,0;1118,0;8
facil_16;3314,0;1881,0;5
facil_17;737,0;1285,0;7
facil_18;779,0;777,0;10
facil_19;2312,0;1949,0;6
facil_20;2576,0;189,0;6
facil_21;3078,0;1541,0;7
facil_22;2781,0;478,0;8
facil_23;705,0;1812,0;3
facil_24;3409,0;1917,0;4
facil_25;323,0;1714,0;4
facil_26;1660,0;1556,0;5
facil_27;3729,0;1188,0;10
facil_28;693,0;1383,0;4
facil_29;2361,0;640,0;5
facil_30;2433,0;1538,0;10
facil_31;554,0;1825,0;4
facil_32;913,0;317,0;9
facil_33;3586,0;1909,0;5
facil_34;2636,0;727,0;7
facil_35;1000,0;457,0;10
facil_36;482,0;1337,0;7
facil_37;3704,0;1082,0;9
facil_38;3635,0;1174,0;10
facil_39;1362,0;1526,0;4
facil_40;2049,0;417,0;6
facil_41;2552,0;1909,0;6
facil_42;3939,0;640,0;4
facil_43;219,0;898,0;7
facil_44;812,0;351,0;10
facil_45;901,0;1552,0;4
facil_46;2513,0;1572,0;9
facil_47;242,0;584,0;9
facil_48;826,0;1226,0;6
facil_49;3278,0;799,0;10
