Name;Latitude;Longitude;Demand
cust_1;202,0;233,0;1
cust_2;981,0;848,0;1
cust_3;1346,0;408,0;1
cust_4;781,0;670,0;1
cust_5;241,0;1069,0;1
cust_6;2658,0;360,0;1
cust_7;394,0;1944,0;1
cust_8;3786,0;1862,0;1
cust_9;264,0;36,0;1
cust_10;2050,0;1833,0;1
cust_11;3538,0;125,0;1
cust_12;1646,0;1817,0;1
cust_13;2993,0;624,0;1
cust_14;547,0;25,0;1
cust_15;3373,0;1902,0;1
cust_16;460,0;267,0;1
cust_17;3060,0;781,0;1
cust_18;1828,0;456,0;1
cust_19;1021,0;962,0;1
cust_20;2347,0;388,0;1
cust_21;3535,0;1112,0;1
cust_22;1529,0;581,0;1
cust_23;1203,0;385,0;1
cust_24;1787,0;1902,0;1
cust_25;2740,0;1101,0;1
cust_26;555,0;1753,0;1
cust_27;47,0;363,0;1
cust_28;3935,0;540,0;1
cust_29;3062,0;329,0;1
cust_30;387,0;199,0;1
cust_31;2901,0;920,0;1
cust_32;931,0;512,0;1
cust_33;1766,0;692,0;1
cust_34;401,0;980,0;1
cust_35;149,0;1629,0;1
cust_36;2214,0;1977,0;1
cust_37;3805,0;1619,0;1
cust_38;1179,0;969,0;1
cust_39;1017,0;333,0;1
cust_40;2834,0;1512,0;1
cust_41;634,0;294,0;1
cust_42;1819,0;814,0;1
cust_43;1393,0;859,0;1
cust_44;1768,0;1578,0;1
cust_45;3023,0;871,0;1
cust_46;3248,0;1906,0;1
cust_47;1632,0;1742,0;1
cust_48;2223,0;990,0;1
cust_49;3868,0;697,0;1
cust_50;1541,0;354,0;1
cust_51;2374,0;1944,0;1
cust_52;1962,0;389,0;1
cust_53;3007,0;1524,0;1
cust_54;3220,0;1945,0;1
cust_55;2356,0;1568,0;1
cust_56;1604,0;706,0;1
cust_57;2028,0;1736,0;1
cust_58;2581,0;121,0;1
cust_59;2221,0;1578,0;1
cust_60;2944,0;632,0;1
cust_61;1082,0;1561,0;1
cust_62;997,0;942,0;1
cust_63;2334,0;523,0;1
cust_64;1264,0;1090,0;1
cust_65;1699,0;1294,0;1
cust_66;235,0;1059,0;1
cust_67;2592,0;248,0;1
cust_68;3642,0;699,0;1
cust_69;3599,0;514,0;1
cust_70;1766,0;678,0;1
cust_71;240,0;619,0;1
cust_72;1272,0;246,0;1
cust_73;3503,0;301,0;1
cust_74;80,0;1533,0;1
cust_75;1677,0;1238,0;1
cust_76;3766,0;154,0;1
cust_77;3946,0;459,0;1
cust_78;1994,0;1852,0;1
cust_79;278,0;165,0;1
