Name;Latitude;Longitude;Demand
cust_1;2848,0;96,0;1
cust_2;3510,0;1671,0;1
cust_3;457,0;334,0;1
cust_4;3888,0;666,0;1
cust_5;984,0;965,0;1
cust_6;2721,0;1482,0;1
cust_7;1286,0;525,0;1
cust_8;2716,0;1432,0;1
cust_9;738,0;1325,0;1
cust_10;2482,0;1183,0;1
cust_11;3854,0;923,0;1
cust_12;376,0;825,0;1
cust_13;2519,0;135,0;1
cust_14;2945,0;1622,0;1
cust_15;953,0;268,0;1
cust_16;2628,0;1479,0;1
cust_17;2097,0;981,0;1
cust_18;890,0;1846,0;1
cust_19;2139,0;1806,0;1
cust_20;2421,0;1007,0;1
cust_21;2290,0;1810,0;1
cust_22;1115,0;1052,0;1
cust_23;2588,0;302,0;1
cust_24;327,0;265,0;1
cust_25;241,0;341,0;1
cust_26;1917,0;687,0;1
cust_27;2991,0;792,0;1
cust_28;2573,0;599,0;1
cust_29;19,0;674,0;1
cust_30;3911,0;1673,0;1
cust_31;872,0;1559,0;1
cust_32;2863,0;558,0;1
cust_33;929,0;1766,0;1
cust_34;839,0;620,0;1
cust_35;3893,0;102,0;1
cust_36;2178,0;1619,0;1
cust_37;3822,0;899,0;1
cust_38;378,0;1048,0;1
cust_39;1178,0;100,0;1
cust_40;2599,0;901,0;1
cust_41;3416,0;143,0;1
cust_42;2961,0;1605,0;1
cust_43;611,0;1384,0;1
cust_44;3113,0;885,0;1
cust_45;2597,0;1830,0;1
cust_46;2586,0;1286,0;1
cust_47;161,0;906,0;1
cust_48;1429,0;134,0;1
cust_49;742,0;1025,0;1
cust_50;1625,0;1651,0;1
cust_51;1187,0;706,0;1
cust_52;1787,0;1009,0;1
cust_53;22,0;987,0;1
cust_54;3640,0;43,0;1
cust_55;3756,0;882,0;1
cust_56;776,0;392,0;1
cust_57;1724,0;1642,0;1
cust_58;198,0;1810,0;1
cust_59;3950,0;1558,0;1
