Name;Latitude;Longitude;Demand
cust_1;556,0;1056,0;1
cust_2;3675,0;1522,0;1
cust_3;1182,0;1853,0;1
cust_4;3595,0;111,0;1
cust_5;962,0;1895,0;1
cust_6;2030,0;1186,0;1
cust_7;3507,0;1851,0;1
cust_8;2642,0;1269,0;1
cust_9;3438,0;901,0;1
cust_10;3,0;1817,0;1
cust_11;1782,0;995,0;1
cust_12;3896,0;742,0;1
cust_13;1829,0;812,0;1
cust_14;1286,0;550,0;1
cust_15;3017,0;108,0;1
cust_16;2132,0;1432,0;1
cust_17;2000,0;1110,0;1
cust_18;3317,0;1966,0;1
cust_19;1729,0;1498,0;1
cust_20;2408,0;1747,0;1
cust_21;3292,0;152,0;1
cust_22;193,0;1210,0;1
cust_23;782,0;1462,0;1
cust_24;2503,0;352,0;1
cust_25;1697,0;1924,0;1
cust_26;3821,0;147,0;1
cust_27;3370,0;791,0;1
cust_28;3162,0;367,0;1
cust_29;3938,0;516,0;1
cust_30;2741,0;1583,0;1
cust_31;2330,0;741,0;1
cust_32;3918,0;1088,0;1
cust_33;1794,0;1589,0;1
cust_34;2929,0;485,0;1
cust_35;3453,0;1998,0;1
cust_36;896,0;705,0;1
cust_37;399,0;850,0;1
cust_38;2614,0;195,0;1
cust_39;2800,0;653,0;1
cust_40;2630,0;20,0;1
cust_41;563,0;1513,0;1
cust_42;1090,0;1652,0;1
cust_43;2009,0;1163,0;1
cust_44;3876,0;1165,0;1
cust_45;3084,0;774,0;1
cust_46;1526,0;1612,0;1
cust_47;1612,0;328,0;1
cust_48;1423,0;1322,0;1
cust_49;3058,0;1276,0;1
cust_50;3782,0;1865,0;1
cust_51;347,0;252,0;1
cust_52;3904,0;1444,0;1
cust_53;2191,0;1579,0;1
cust_54;3220,0;1454,0;1
cust_55;468,0;319,0;1
cust_56;3611,0;1968,0;1
cust_57;3114,0;1629,0;1
cust_58;3515,0;1892,0;1
cust_59;3060,0;155,0;1
cust_60;2995,0;264,0;1
cust_61;202,0;233,0;1
cust_62;981,0;848,0;1
cust_63;1346,0;408,0;1
cust_64;781,0;670,0;1
cust_65;1009,0;1001,0;1
cust_66;2927,0;1777,0;1
cust_67;2982,0;949,0;1
cust_68;555,0;1121,0;1
cust_69;464,0;1302,0;1
cust_70;3452,0;637,0;1
cust_71;571,0;1982,0;1
cust_72;2656,0;128,0;1
cust_73;1623,0;1723,0;1
cust_74;2067,0;694,0;1
cust_75;1725,0;927,0;1
cust_76;3600,0;459,0;1
cust_77;1109,0;1196,0;1
cust_78;366,0;339,0;1
cust_79;778,0;1282,0;1
cust_80;386,0;1616,0;1
cust_81;3918,0;1217,0;1
cust_82;3332,0;1049,0;1
cust_83;2597,0;349,0;1
cust_84;811,0;1295,0;1
cust_85;241,0;1069,0;1
cust_86;2658,0;360,0;1
cust_87;394,0;1944,0;1
cust_88;3786,0;1862,0;1
cust_89;264,0;36,0;1
cust_90;2050,0;1833,0;1
cust_91;3538,0;125,0;1
cust_92;1646,0;1817,0;1
cust_93;2993,0;624,0;1
cust_94;547,0;25,0;1
cust_95;3373,0;1902,0;1
cust_96;460,0;267,0;1
cust_97;3060,0;781,0;1
cust_98;1828,0;456,0;1
cust_99;1021,0;962,0;1
cust_100;2347,0;388,0;1
cust_101;3535,0;1112,0;1
cust_102;1529,0;581,0;1
cust_103;1203,0;385,0;1
cust_104;1787,0;1902,0;1
cust_105;2740,0;1101,0;1
cust_106;555,0;1753,0;1
cust_107;47,0;363,0;1
cust_108;3935,0;540,0;1
cust_109;3062,0;329,0;1
cust_110;387,0;199,0;1
cust_111;2901,0;920,0;1
cust_112;931,0;512,0;1
cust_113;1766,0;692,0;1
cust_114;401,0;980,0;1
cust_115;149,0;1629,0;1
cust_116;2214,0;1977,0;1
cust_117;3805,0;1619,0;1
cust_118;1179,0;969,0;1
cust_119;1017,0;333,0;1
cust_120;2834,0;1512,0;1
cust_121;634,0;294,0;1
cust_122;1819,0;814,0;1
cust_123;1393,0;859,0;1
cust_124;1768,0;1578,0;1
cust_125;3023,0;871,0;1
cust_126;3248,0;1906,0;1
cust_127;1632,0;1742,0;1
cust_128;2223,0;990,0;1
cust_129;3868,0;697,0;1
cust_130;1541,0;354,0;1
cust_131;2374,0;1944,0;1
cust_132;1962,0;389,0;1
cust_133;3007,0;1524,0;1
cust_134;3220,0;1945,0;1
cust_135;2356,0;1568,0;1
cust_136;1604,0;706,0;1
cust_137;2028,0;1736,0;1
cust_138;2581,0;121,0;1
cust_139;2221,0;1578,0;1
cust_140;2944,0;632,0;1
cust_141;1082,0;1561,0;1
cust_142;997,0;942,0;1
cust_143;2334,0;523,0;1
cust_144;1264,0;1090,0;1
cust_145;1699,0;1294,0;1
cust_146;235,0;1059,0;1
cust_147;2592,0;248,0;1
cust_148;3642,0;699,0;1
cust_149;3599,0;514,0;1
cust_150;1766,0;678,0;1
cust_151;240,0;619,0;1
cust_152;1272,0;246,0;1
cust_153;3503,0;301,0;1
cust_154;80,0;1533,0;1
cust_155;1677,0;1238,0;1
cust_156;3766,0;154,0;1
cust_157;3946,0;459,0;1
cust_158;1994,0;1852,0;1
cust_159;278,0;165,0;1
