Name;Latitude;Longitude;Capacity
facil_1;556,0;1056,0;2
facil_2;3675,0;1522,0;2
facil_3;1182,0;1853,0;2
facil_4;3595,0;111,0;2
facil_5;962,0;1895,0;2
facil_6;2030,0;1186,0;2
facil_7;3507,0;1851,0;2
facil_8;2642,0;1269,0;2
facil_9;3438,0;901,0;2
facil_10;3858,0;1472,0;2
facil_11;2937,0;1568,0;2
facil_12;376,0;1018,0;2
facil_13;839,0;1355,0;2
facil_14;706,0;1925,0;2
facil_15;749,0;920,0;2
facil_16;298,0;615,0;2
facil_17;694,0;552,0;2
facil_18;387,0;190,0;2
facil_19;2801,0;695,0;2
facil_20;3133,0;1143,0;9
facil_21;1517,0;266,0;9
facil_22;1538,0;224,0;8
facil_23;844,0;520,0;9
facil_24;2639,0;1239,0;7
facil_25;3123,0;217,0;7
facil_26;2489,0;1520,0;5
facil_27;3834,0;1827,0;4
facil_28;3417,0;1808,0;6
facil_29;2938,0;543,0;12
facil_30;71,0;1323,0;7
facil_31;3245,0;1828,0;6
facil_32;731,0;1741,0;8
facil_33;2312,0;1270,0;5
facil_34;2426,0;1851,0;8
facil_35;380,0;478,0;11
facil_36;2310,0;635,0;8
facil_37;2830,0;775,0;9
facil_38;3829,0;513,0;10
facil_39;3684,0;445,0;11
facil_40;171,0;514,0;8
facil_41;627,0;1261,0;10
facil_42;1490,0;1123,0;10
facil_43;61,0;81,0;8
facil_44;422,0;542,0;11
facil_45;2698,0;1221,0;6
facil_46;2372,0;127,0;8
facil_47;177,0;1390,0;9
facil_48;3084,0;748,0;10
facil_49;1213,0;910,0;11
facil_50;3,0;1817,0;5
facil_51;1782,0;995,0;11
facil_52;3896,0;742,0;8
facil_53;1829,0;812,0;13
facil_54;1286,0;550,0;12
facil_55;3017,0;108,0;7
facil_56;2132,0;1432,0;9
facil_57;2000,0;1110,0;7
facil_58;3317,0;1966,0;5
facil_59;1729,0;1498,0;11
facil_60;2408,0;1747,0;8
facil_61;3292,0;152,0;6
facil_62;193,0;1210,0;9
facil_63;782,0;1462,0;9
facil_64;2503,0;352,0;8
facil_65;1697,0;1924,0;9
facil_66;3821,0;147,0;8
facil_67;3370,0;791,0;12
facil_68;3162,0;367,0;11
facil_69;3938,0;516,0;8
facil_70;2741,0;1583,0;5
facil_71;2330,0;741,0;5
facil_72;3918,0;1088,0;4
facil_73;1794,0;1589,0;12
facil_74;2929,0;485,0;13
facil_75;3453,0;1998,0;5
facil_76;896,0;705,0;10
facil_77;399,0;850,0;8
facil_78;2614,0;195,0;10
facil_79;2800,0;653,0;13
facil_80;2630,0;20,0;8
facil_81;563,0;1513,0;10
facil_82;1090,0;1652,0;4
facil_83;2009,0;1163,0;7
facil_84;3876,0;1165,0;5
facil_85;3084,0;774,0;10
facil_86;1526,0;1612,0;9
facil_87;1612,0;328,0;11
facil_88;1423,0;1322,0;11
facil_89;3058,0;1276,0;8
facil_90;3782,0;1865,0;4
facil_91;347,0;252,0;11
facil_92;3904,0;1444,0;4
facil_93;2191,0;1579,0;9
facil_94;3220,0;1454,0;7
facil_95;468,0;319,0;11
facil_96;3611,0;1968,0;6
facil_97;3114,0;1629,0;7
facil_98;3515,0;1892,0;6
facil_99;3060,0;155,0;6
