Name;Latitude;Longitude;Capacity
facil_1;2650,0;802,0;2
facil_2;1774,0;107,0;2
facil_3;1307,0;964,0;2
facil_4;3806,0;746,0;2
facil_5;2687,0;1353,0;40
facil_6;43,0;1957,0;14
facil_7;3092,0;1668,0;31
facil_8;185,0;1542,0;22
facil_9;834,0;629,0;36
facil_10;40,0;462,0;27
facil_11;1183,0;1391,0;36
facil_12;2048,0;1628,0;24
facil_13;1097,0;643,0;36
facil_14;1838,0;1732,0;23
facil_15;234,0;1118,0;31
facil_16;3314,0;1881,0;26
facil_17;737,0;1285,0;35
facil_18;779,0;777,0;37
facil_19;2312,0;1949,0;19
facil_20;2576,0;189,0;24
facil_21;3078,0;1541,0;35
facil_22;2781,0;478,0;32
facil_23;705,0;1812,0;21
facil_24;3409,0;1917,0;23
