Name;Latitude;Longitude;Demand
cust_1;241,0;1069,0;1
cust_2;2658,0;360,0;1
cust_3;394,0;1944,0;1
cust_4;3786,0;1862,0;1
cust_5;264,0;36,0;1
cust_6;2050,0;1833,0;1
cust_7;3538,0;125,0;1
cust_8;1646,0;1817,0;1
cust_9;2993,0;624,0;1
cust_10;547,0;25,0;1
cust_11;3373,0;1902,0;1
cust_12;460,0;267,0;1
cust_13;3060,0;781,0;1
cust_14;1828,0;456,0;1
cust_15;1021,0;962,0;1
cust_16;2347,0;388,0;1
cust_17;3535,0;1112,0;1
cust_18;1529,0;581,0;1
cust_19;1203,0;385,0;1
cust_20;1787,0;1902,0;1
cust_21;2740,0;1101,0;1
cust_22;555,0;1753,0;1
cust_23;47,0;363,0;1
cust_24;3935,0;540,0;1
cust_25;3062,0;329,0;1
cust_26;387,0;199,0;1
cust_27;2901,0;920,0;1
cust_28;931,0;512,0;1
cust_29;1766,0;692,0;1
cust_30;401,0;980,0;1
cust_31;149,0;1629,0;1
cust_32;2214,0;1977,0;1
cust_33;3805,0;1619,0;1
cust_34;1179,0;969,0;1
cust_35;1017,0;333,0;1
cust_36;2834,0;1512,0;1
cust_37;634,0;294,0;1
cust_38;1819,0;814,0;1
cust_39;1393,0;859,0;1
cust_40;1768,0;1578,0;1
cust_41;3023,0;871,0;1
cust_42;3248,0;1906,0;1
cust_43;1632,0;1742,0;1
cust_44;2223,0;990,0;1
cust_45;3868,0;697,0;1
cust_46;1541,0;354,0;1
cust_47;2374,0;1944,0;1
cust_48;1962,0;389,0;1
cust_49;3007,0;1524,0;1
cust_50;3220,0;1945,0;1
cust_51;2356,0;1568,0;1
cust_52;1604,0;706,0;1
cust_53;2028,0;1736,0;1
cust_54;2581,0;121,0;1
cust_55;2221,0;1578,0;1
cust_56;2944,0;632,0;1
cust_57;1082,0;1561,0;1
cust_58;997,0;942,0;1
cust_59;2334,0;523,0;1
cust_60;1264,0;1090,0;1
cust_61;1699,0;1294,0;1
cust_62;235,0;1059,0;1
cust_63;2592,0;248,0;1
cust_64;3642,0;699,0;1
cust_65;3599,0;514,0;1
cust_66;1766,0;678,0;1
cust_67;240,0;619,0;1
cust_68;1272,0;246,0;1
cust_69;3503,0;301,0;1
cust_70;80,0;1533,0;1
cust_71;1677,0;1238,0;1
cust_72;3766,0;154,0;1
cust_73;3946,0;459,0;1
cust_74;1994,0;1852,0;1
cust_75;278,0;165,0;1
