Name;Latitude;Longitude;Capacity
facil_1;202,0;233,0;5
facil_2;981,0;848,0;8
facil_3;1346,0;408,0;10
facil_4;781,0;670,0;8
facil_5;1009,0;1001,0;7
facil_6;2927,0;1777,0;6
facil_7;2982,0;949,0;6
facil_8;555,0;1121,0;5
facil_9;464,0;1302,0;5
facil_10;3452,0;637,0;9
facil_11;571,0;1982,0;2
facil_12;2656,0;128,0;5
facil_13;1623,0;1723,0;8
facil_14;2067,0;694,0;8
facil_15;1725,0;927,0;13
facil_16;3600,0;459,0;7
facil_17;1109,0;1196,0;8
facil_18;366,0;339,0;6
facil_19;778,0;1282,0;7
facil_20;386,0;1616,0;4
facil_21;3918,0;1217,0;4
facil_22;3332,0;1049,0;7
facil_23;2597,0;349,0;5
facil_24;811,0;1295,0;6
facil_25;241,0;1069,0;6
facil_26;2658,0;360,0;5
facil_27;394,0;1944,0;3
facil_28;3786,0;1862,0;4
facil_29;264,0;36,0;5
facil_30;2050,0;1833,0;9
facil_31;3538,0;125,0;6
facil_32;1646,0;1817,0;8
facil_33;2993,0;624,0;6
facil_34;547,0;25,0;5
facil_35;3373,0;1902,0;5
facil_36;460,0;267,0;7
facil_37;3060,0;781,0;6
facil_38;1828,0;456,0;10
facil_39;1021,0;962,0;7
facil_40;2347,0;388,0;5
facil_41;3535,0;1112,0;6
facil_42;1529,0;581,0;13
facil_43;1203,0;385,0;10
facil_44;1787,0;1902,0;8
facil_45;2740,0;1101,0;8
facil_46;555,0;1753,0;4
facil_47;47,0;363,0;5
facil_48;3935,0;540,0;7
facil_49;3062,0;329,0;7
