Name;Latitude;Longitude;Capacity
facil_1;177,0;24,0;2
facil_2;448,0;476,0;2
facil_3;934,0;619,0;2
facil_4;323,0;122,0;2
facil_5;430,0;76,0;2
facil_6;364,0;9,0;2
facil_7;988,0;994,0;2
facil_8;91,0;636,0;2
facil_9;938,0;641,0;2
facil_10;979,0;764,0;2
facil_11;4,0;748,0;2
facil_12;420,0;164,0;2
facil_13;294,0;15,0;2
facil_14;304,0;89,0;2
facil_15;362,0;207,0;2
facil_16;770,0;344,0;2
facil_17;67,0;634,0;2
facil_18;90,0;44,0;2
facil_19;712,0;418,0;2
facil_20;299,0;6,0;2
facil_21;997,0;871,0;2
facil_22;38,0;695,0;2
facil_23;830,0;1000,0;2
facil_24;916,0;622,0;2
facil_25;445,0;107,0;2
facil_26;314,0;222,0;2
facil_27;292,0;519,0;2
facil_28;183,0;344,0;2
facil_29;520,0;434,0;2
facil_30;262,0;283,0;2
facil_31;996,0;902,0;2
facil_32;115,0;158,0;2
facil_33;371,0;61,0;2
facil_34;971,0;352,0;2
facil_35;448,0;484,0;2
facil_36;299,0;89,0;2
facil_37;402,0;147,0;2
facil_38;537,0;431,0;2
facil_39;389,0;48,0;2
facil_40;186,0;22,0;2
facil_41;658,0;505,0;2
facil_42;459,0;528,0;2
facil_43;956,0;900,0;2
facil_44;486,0;383,0;2
facil_45;36,0;651,0;2
facil_46;994,0;713,0;5
facil_47;270,0;100,0;19
facil_48;944,0;606,0;12
facil_49;813,0;917,0;2
facil_50;318,0;42,0;13
facil_51;17,0;369,0;3
facil_52;398,0;280,0;6
facil_53;74,0;760,0;3
facil_54;910,0;623,0;13
facil_55;96,0;604,0;8
facil_56;432,0;96,0;15
facil_57;188,0;17,0;11
facil_58;441,0;480,0;9
facil_59;458,0;124,0;12
facil_60;557,0;620,0;3
facil_61;196,0;51,0;15
facil_62;253,0;137,0;16
facil_63;953,0;658,0;14
facil_64;389,0;0,0;9
facil_65;386,0;127,0;14
facil_66;140,0;683,0;9
facil_67;293,0;75,0;19
facil_68;475,0;386,0;7
facil_69;224,0;487,0;4
facil_70;299,0;157,0;16
facil_71;556,0;346,0;6
facil_72;366,0;110,0;16
facil_73;681,0;864,0;2
facil_74;220,0;97,0;17
facil_75;382,0;140,0;13
facil_76;266,0;88,0;20
facil_77;440,0;423,0;8
facil_78;168,0;19,0;11
facil_79;616,0;244,0;2
facil_80;270,0;177,0;13
facil_81;126,0;666,0;11
facil_82;332,0;85,0;18
facil_83;234,0;26,0;13
facil_84;834,0;571,0;5
facil_85;49,0;602,0;5
facil_86;248,0;74,0;21
facil_87;81,0;696,0;10
facil_88;308,0;43,0;15
facil_89;915,0;675,0;10
facil_90;500,0;518,0;4
facil_91;510,0;353,0;8
facil_92;329,0;86,0;19
facil_93;830,0;724,0;5
facil_94;993,0;634,0;10
facil_95;959,0;600,0;11
facil_96;991,0;973,0;10
facil_97;411,0;25,0;14
facil_98;382,0;303,0;6
facil_99;477,0;58,0;11
facil_100;225,0;31,0;15
facil_101;439,0;456,0;9
facil_102;120,0;710,0;9
facil_103;462,0;471,0;10
facil_104;107,0;134,0;2
facil_105;970,0;995,0;10
facil_106;427,0;501,0;7
facil_107;938,0;650,0;14
facil_108;370,0;16,0;11
facil_109;460,0;140,0;8
facil_110;263,0;59,0;19
facil_111;524,0;19,0;7
facil_112;411,0;89,0;19
facil_113;953,0;944,0;10
facil_114;79,0;357,0;3
facil_115;757,0;867,0;2
facil_116;343,0;121,0;18
facil_117;361,0;316,0;6
facil_118;407,0;508,0;6
facil_119;414,0;117,0;18
facil_120;576,0;591,0;3
facil_121;544,0;44,0;5
facil_122;418,0;27,0;14
facil_123;837,0;660,0;6
facil_124;174,0;487,0;3
facil_125;168,0;601,0;5
facil_126;854,0;575,0;5
facil_127;615,0;52,0;2
facil_128;193,0;51,0;15
facil_129;458,0;659,0;3
facil_130;957,0;641,0;14
facil_131;51,0;647,0;7
facil_132;137,0;714,0;9
facil_133;203,0;140,0;7
facil_134;386,0;146,0;13
facil_135;976,0;649,0;12
facil_136;522,0;26,0;7
facil_137;281,0;121,0;21
facil_138;453,0;69,0;17
facil_139;393,0;25,0;11
facil_140;341,0;532,0;3
facil_141;466,0;153,0;6
facil_142;507,0;472,0;4
facil_143;946,0;963,0;10
facil_144;327,0;78,0;18
facil_145;301,0;135,0;18
facil_146;256,0;139,0;17
facil_147;997,0;980,0;10
facil_148;343,0;173,0;13
facil_149;860,0;622,0;7
facil_150;151,0;798,0;3
facil_151;317,0;211,0;10
facil_152;418,0;6,0;12
facil_153;833,0;694,0;5
facil_154;83,0;641,0;9
facil_155;229,0;449,0;3
facil_156;283,0;204,0;8
facil_157;513,0;697,0;2
facil_158;232,0;96,0;17
facil_159;247,0;22,0;15
facil_160;651,0;664,0;2
facil_161;857,0;701,0;6
facil_162;337,0;72,0;14
facil_163;439,0;65,0;20
facil_164;398,0;106,0;16
facil_165;409,0;24,0;14
facil_166;931,0;476,0;2
facil_167;368,0;92,0;18
facil_168;97,0;676,0;9
facil_169;880,0;606,0;8
facil_170;281,0;199,0;10
facil_171;410,0;110,0;17
facil_172;252,0;22,0;15
facil_173;181,0;147,0;4
facil_174;945,0;948,0;10
facil_175;135,0;618,0;9
facil_176;348,0;443,0;3
facil_177;296,0;39,0;17
facil_178;953,0;368,0;2
facil_179;81,0;826,0;2
facil_180;997,0;734,0;3
facil_181;533,0;134,0;4
facil_182;372,0;134,0;15
facil_183;231,0;681,0;3
facil_184;317,0;479,0;4
facil_185;143,0;603,0;8
facil_186;122,0;38,0;7
facil_187;220,0;898,0;2
facil_188;946,0;690,0;9
facil_189;95,0;37,0;6
facil_190;429,0;9,0;13
facil_191;137,0;64,0;10
facil_192;361,0;258,0;6
facil_193;153,0;65,0;11
facil_194;536,0;296,0;6
facil_195;509,0;404,0;6
facil_196;423,0;59,0;18
facil_197;162,0;759,0;6
facil_198;525,0;342,0;7
facil_199;943,0;678,0;11
facil_200;522,0;195,0;3
facil_201;463,0;29,0;14
facil_202;371,0;335,0;5
facil_203;289,0;136,0;17
facil_204;191,0;568,0;4
facil_205;505,0;381,0;7
facil_206;265,0;55,0;19
facil_207;125,0;62,0;7
facil_208;304,0;44,0;17
facil_209;958,0;610,0;11
facil_210;975,0;966,0;10
facil_211;277,0;631,0;2
facil_212;285,0;169,0;14
facil_213;486,0;111,0;11
facil_214;940,0;621,0;14
facil_215;993,0;964,0;10
facil_216;771,0;548,0;2
facil_217;484,0;276,0;3
facil_218;440,0;455,0;9
facil_219;104,0;561,0;5
facil_220;200,0;61,0;17
facil_221;491,0;62,0;10
facil_222;277,0;169,0;14
facil_223;177,0;695,0;8
facil_224;628,0;312,0;2
facil_225;430,0;429,0;8
facil_226;945,0;994,0;10
facil_227;461,0;608,0;3
