Name;Latitude;Longitude;Demand
cust_1;319,0;475,0;1
cust_2;471,0;281,0;1
cust_3;894,0;615,0;1
cust_4;712,0;832,0;1
cust_5;728,0;813,0;1
cust_6;360,0;217,0;1
cust_7;446,0;264,0;1
cust_8;952,0;650,0;1
cust_9;558,0;224,0;1
cust_10;460,0;397,0;1
cust_11;464,0;342,0;1
cust_12;733,0;921,0;1
cust_13;324,0;316,0;1
cust_14;333,0;497,0;1
cust_15;826,0;821,0;1
cust_16;257,0;385,0;1
cust_17;385,0;244,0;1
cust_18;523,0;249,0;1
cust_19;559,0;370,0;1
cust_20;665,0;866,0;1
cust_21;310,0;583,0;1
cust_22;744,0;792,0;1
cust_23;428,0;638,0;1
cust_24;759,0;804,0;1
cust_25;359,0;515,0;1
cust_26;392,0;213,0;1
cust_27;583,0;380,0;1
cust_28;786,0;400,0;1
cust_29;516,0;833,0;1
cust_30;823,0;692,0;1
cust_31;480,0;330,0;1
cust_32;870,0;690,0;1
cust_33;311,0;76,0;1
cust_34;157,0;434,0;1
cust_35;340,0;558,0;1
cust_36;499,0;905,0;1
cust_37;893,0;667,0;1
cust_38;665,0;781,0;1
cust_39;328,0;499,0;1
cust_40;712,0;744,0;1
cust_41;949,0;498,0;1
cust_42;463,0;266,0;1
cust_43;275,0;564,0;1
cust_44;456,0;323,0;1
cust_45;748,0;727,0;1
cust_46;860,0;607,0;1
cust_47;821,0;554,0;1
cust_48;245,0;542,0;1
cust_49;462,0;420,0;1
cust_50;859,0;662,0;1
cust_51;308,0;399,0;1
cust_52;427,0;246,0;1
cust_53;279,0;414,0;1
cust_54;543,0;841,0;1
cust_55;243,0;333,0;1
cust_56;406,0;498,0;1
cust_57;347,0;509,0;1
cust_58;460,0;593,0;1
cust_59;244,0;536,0;1
cust_60;650,0;703,0;1
cust_61;732,0;115,0;1
cust_62;234,0;661,0;1
cust_63;808,0;720,0;1
cust_64;423,0;216,0;1
cust_65;144,0;390,0;1
cust_66;772,0;633,0;1
cust_67;917,0;645,0;1
cust_68;509,0;345,0;1
cust_69;286,0;449,0;1
cust_70;380,0;488,0;1
cust_71;478,0;333,0;1
cust_72;465,0;310,0;1
cust_73;666,0;858,0;1
cust_74;334,0;369,0;1
cust_75;708,0;815,0;1
cust_76;767,0;610,0;1
cust_77;472,0;326,0;1
cust_78;481,0;449,0;1
cust_79;476,0;215,0;1
cust_80;559,0;265,0;1
cust_81;477,0;79,0;1
cust_82;786,0;646,0;1
cust_83;503,0;255,0;1
cust_84;406,0;226,0;1
cust_85;627,0;709,0;1
cust_86;980,0;570,0;1
cust_87;859,0;611,0;1
cust_88;931,0;648,0;1
cust_89;281,0;315,0;1
cust_90;954,0;665,0;1
cust_91;443,0;295,0;1
cust_92;497,0;359,0;1
cust_93;247,0;542,0;1
cust_94;311,0;468,0;1
cust_95;901,0;603,0;1
cust_96;801,0;847,0;1
cust_97;257,0;131,0;1
cust_98;346,0;637,0;1
cust_99;767,0;855,0;1
cust_100;604,0;305,0;1
cust_101;436,0;206,0;1
cust_102;277,0;345,0;1
cust_103;428,0;257,0;1
cust_104;405,0;530,0;1
cust_105;892,0;802,0;1
cust_106;341,0;663,0;1
cust_107;856,0;527,0;1
cust_108;539,0;861,0;1
cust_109;359,0;298,0;1
cust_110;775,0;869,0;1
cust_111;875,0;642,0;1
cust_112;610,0;772,0;1
cust_113;867,0;658,0;1
cust_114;677,0;832,0;1
cust_115;340,0;456,0;1
cust_116;322,0;444,0;1
cust_117;623,0;825,0;1
cust_118;316,0;483,0;1
cust_119;941,0;597,0;1
cust_120;886,0;768,0;1
cust_121;505,0;255,0;1
cust_122;554,0;806,0;1
cust_123;309,0;502,0;1
cust_124;953,0;659,0;1
cust_125;675,0;828,0;1
cust_126;946,0;627,0;1
cust_127;242,0;560,0;1
cust_128;498,0;334,0;1
cust_129;844,0;511,0;1
cust_130;811,0;691,0;1
cust_131;468,0;522,0;1
cust_132;454,0;510,0;1
cust_133;675,0;733,0;1
cust_134;186,0;347,0;1
cust_135;348,0;474,0;1
cust_136;605,0;756,0;1
cust_137;487,0;362,0;1
cust_138;835,0;517,0;1
cust_139;507,0;409,0;1
cust_140;378,0;458,0;1
cust_141;368,0;319,0;1
cust_142;810,0;928,0;1
cust_143;572,0;844,0;1
cust_144;445,0;255,0;1
cust_145;412,0;244,0;1
cust_146;815,0;948,0;1
cust_147;328,0;509,0;1
cust_148;665,0;841,0;1
cust_149;295,0;534,0;1
cust_150;859,0;585,0;1
cust_151;730,0;846,0;1
cust_152;380,0;437,0;1
cust_153;786,0;719,0;1
cust_154;437,0;458,0;1
cust_155;371,0;276,0;1
cust_156;876,0;594,0;1
cust_157;448,0;298,0;1
cust_158;510,0;236,0;1
cust_159;573,0;230,0;1
cust_160;492,0;203,0;1
cust_161;837,0;903,0;1
cust_162;909,0;630,0;1
cust_163;704,0;257,0;1
cust_164;643,0;809,0;1
cust_165;942,0;583,0;1
cust_166;944,0;623,0;1
cust_167;440,0;448,0;1
cust_168;411,0;551,0;1
cust_169;721,0;584,0;1
cust_170;523,0;195,0;1
cust_171;370,0;474,0;1
cust_172;730,0;809,0;1
cust_173;520,0;525,0;1
cust_174;498,0;349,0;1
cust_175;667,0;782,0;1
cust_176;244,0;370,0;1
cust_177;365,0;509,0;1
cust_178;758,0;838,0;1
cust_179;323,0;519,0;1
cust_180;378,0;315,0;1
cust_181;402,0;522,0;1
cust_182;986,0;718,0;1
cust_183;419,0;216,0;1
