Name;Latitude;Longitude;Demand
cust_1;735,0;289,0;1
cust_2;841,0;735,0;1
cust_3;846,0;821,0;1
cust_4;907,0;810,0;1
cust_5;55,0;136,0;1
cust_6;372,0;422,0;1
cust_7;437,0;584,0;1
cust_8;509,0;822,0;1
cust_9;57,0;519,0;1
cust_10;563,0;333,0;1
cust_11;750,0;8,0;1
cust_12;644,0;692,0;1
cust_13;123,0;787,0;1
cust_14;865,0;618,0;1
cust_15;833,0;453,0;1
cust_16;736,0;643,0;1
cust_17;90,0;930,0;1
cust_18;804,0;192,0;1
cust_19;435,0;164,0;1
cust_20;540,0;911,0;1
cust_21;747,0;80,0;1
cust_22;486,0;239,0;1
cust_23;511,0;784,0;1
cust_24;639,0;247,0;1
cust_25;337,0;11,0;1
cust_26;95,0;706,0;1
cust_27;719,0;839,0;1
cust_28;943,0;421,0;1
cust_29;55,0;633,0;1
cust_30;396,0;807,0;1
cust_31;916,0;252,0;1
cust_32;191,0;716,0;1
cust_33;552,0;500,0;1
cust_34;226,0;520,0;1
cust_35;666,0;833,0;1
cust_36;450,0;431,0;1
cust_37;427,0;307,0;1
cust_38;4,0;89,0;1
cust_39;736,0;784,0;1
cust_40;615,0;382,0;1
cust_41;739,0;386,0;1
cust_42;229,0;527,0;1
cust_43;594,0;197,0;1
cust_44;910,0;398,0;1
cust_45;492,0;214,0;1
cust_46;974,0;107,0;1
cust_47;914,0;556,0;1
cust_48;384,0;827,0;1
cust_49;151,0;908,0;1
cust_50;390,0;873,0;1
cust_51;70,0;232,0;1
cust_52;418,0;29,0;1
cust_53;128,0;721,0;1
cust_54;211,0;129,0;1
cust_55;641,0;993,0;1
cust_56;220,0;883,0;1
cust_57;293,0;551,0;1
cust_58;244,0;952,0;1
cust_59;910,0;489,0;1
cust_60;324,0;280,0;1
cust_61;466,0;437,0;1
cust_62;879,0;676,0;1
cust_63;359,0;770,0;1
cust_64;95,0;631,0;1
cust_65;920,0;56,0;1
cust_66;577,0;407,0;1
cust_67;178,0;769,0;1
cust_68;225,0;359,0;1
cust_69;882,0;228,0;1
cust_70;385,0;516,0;1
cust_71;759,0;814,0;1
cust_72;234,0;405,0;1
cust_73;33,0;412,0;1
cust_74;423,0;135,0;1
cust_75;194,0;121,0;1
cust_76;970,0;723,0;1
cust_77;6,0;206,0;1
cust_78;392,0;669,0;1
cust_79;782,0;300,0;1
cust_80;107,0;786,0;1
cust_81;889,0;855,0;1
cust_82;68,0;280,0;1
cust_83;522,0;848,0;1
cust_84;653,0;78,0;1
cust_85;719,0;736,0;1
cust_86;809,0;404,0;1
cust_87;620,0;655,0;1
cust_88;439,0;605,0;1
cust_89;990,0;874,0;1
cust_90;46,0;236,0;1
cust_91;980,0;500,0;1
cust_92;625,0;383,0;1
cust_93;146,0;430,0;1
cust_94;795,0;241,0;1
cust_95;714,0;554,0;1
cust_96;200,0;946,0;1
cust_97;89,0;207,0;1
cust_98;144,0;648,0;1
cust_99;633,0;877,0;1
cust_100;482,0;843,0;1
cust_101;670,0;150,0;1
cust_102;763,0;951,0;1
cust_103;755,0;922,0;1
cust_104;615,0;139,0;1
cust_105;192,0;844,0;1
cust_106;396,0;409,0;1
cust_107;799,0;30,0;1
cust_108;72,0;916,0;1
cust_109;917,0;12,0;1
cust_110;370,0;551,0;1
cust_111;686,0;937,0;1
cust_112;156,0;769,0;1
cust_113;553,0;21,0;1
cust_114;86,0;666,0;1
cust_115;42,0;261,0;1
cust_116;494,0;309,0;1
cust_117;767,0;378,0;1
cust_118;528,0;311,0;1
cust_119;697,0;21,0;1
cust_120;545,0;665,0;1
cust_121;675,0;228,0;1
cust_122;752,0;812,0;1
cust_123;180,0;120,0;1
cust_124;94,0;979,0;1
cust_125;348,0;861,0;1
cust_126;397,0;753,0;1
cust_127;229,0;855,0;1
cust_128;756,0;910,0;1
cust_129;311,0;203,0;1
cust_130;177,0;491,0;1
cust_131;280,0;408,0;1
cust_132;470,0;132,0;1
cust_133;40,0;324,0;1
cust_134;386,0;644,0;1
cust_135;975,0;360,0;1
cust_136;9,0;836,0;1
cust_137;466,0;934,0;1
cust_138;397,0;598,0;1
cust_139;658,0;175,0;1
cust_140;470,0;227,0;1
cust_141;472,0;882,0;1
cust_142;157,0;4,0;1
cust_143;876,0;714,0;1
cust_144;780,0;25,0;1
cust_145;394,0;658,0;1
cust_146;697,0;278,0;1
cust_147;879,0;723,0;1
cust_148;192,0;970,0;1
cust_149;522,0;896,0;1
cust_150;620,0;103,0;1
cust_151;122,0;342,0;1
cust_152;790,0;311,0;1
cust_153;599,0;866,0;1
cust_154;611,0;927,0;1
cust_155;761,0;602,0;1
cust_156;983,0;317,0;1
cust_157;320,0;981,0;1
cust_158;933,0;461,0;1
cust_159;156,0;922,0;1
cust_160;10,0;773,0;1
cust_161;834,0;293,0;1
cust_162;926,0;186,0;1
cust_163;370,0;613,0;1
cust_164;440,0;477,0;1
cust_165;243,0;999,0;1
cust_166;508,0;847,0;1
cust_167;669,0;376,0;1
cust_168;666,0;745,0;1
cust_169;103,0;931,0;1
cust_170;676,0;953,0;1
cust_171;54,0;978,0;1
cust_172;687,0;958,0;1
cust_173;490,0;478,0;1
cust_174;739,0;920,0;1
cust_175;753,0;305,0;1
cust_176;109,0;937,0;1
cust_177;15,0;915,0;1
cust_178;404,0;490,0;1
cust_179;602,0;738,0;1
cust_180;724,0;965,0;1
cust_181;348,0;565,0;1
cust_182;688,0;798,0;1
cust_183;632,0;674,0;1
cust_184;40,0;982,0;1
cust_185;223,0;946,0;1
cust_186;464,0;945,0;1
cust_187;408,0;367,0;1
cust_188;530,0;770,0;1
cust_189;924,0;692,0;1
cust_190;428,0;765,0;1
cust_191;358,0;485,0;1
cust_192;565,0;728,0;1
cust_193;443,0;295,0;1
cust_194;66,0;938,0;1
cust_195;222,0;992,0;1
cust_196;716,0;347,0;1
cust_197;495,0;763,0;1
cust_198;683,0;452,0;1
cust_199;36,0;884,0;1
cust_200;74,0;958,0;1
cust_201;719,0;301,0;1
cust_202;698,0;823,0;1
cust_203;816,0;412,0;1
cust_204;292,0;364,0;1
cust_205;565,0;958,0;1
cust_206;626,0;779,0;1
cust_207;429,0;532,0;1
cust_208;79,0;947,0;1
cust_209;628,0;779,0;1
cust_210;609,0;887,0;1
cust_211;664,0;939,0;1
cust_212;17,0;996,0;1
cust_213;328,0;988,0;1
cust_214;680,0;383,0;1
cust_215;742,0;358,0;1
cust_216;659,0;374,0;1
cust_217;622,0;546,0;1
cust_218;850,0;978,0;1
cust_219;230,0;964,0;1
cust_220;663,0;425,0;1
cust_221;622,0;900,0;1
cust_222;195,0;917,0;1
cust_223;559,0;938,0;1
cust_224;496,0;961,0;1
cust_225;469,0;485,0;1
cust_226;688,0;780,0;1
cust_227;135,0;944,0;1
cust_228;338,0;907,0;1
cust_229;700,0;752,0;1
cust_230;176,0;858,0;1
cust_231;457,0;356,0;1
cust_232;133,0;940,0;1
cust_233;531,0;327,0;1
cust_234;656,0;685,0;1
cust_235;215,0;828,0;1
cust_236;257,0;995,0;1
cust_237;224,0;999,0;1
cust_238;308,0;625,0;1
cust_239;552,0;995,0;1
cust_240;689,0;723,0;1
cust_241;244,0;517,0;1
cust_242;615,0;185,0;1
cust_243;174,0;911,0;1
cust_244;645,0;998,0;1
cust_245;668,0;409,0;1
cust_246;461,0;850,0;1
cust_247;605,0;496,0;1
cust_248;447,0;815,0;1
cust_249;643,0;652,0;1
cust_250;281,0;970,0;1
cust_251;544,0;649,0;1
cust_252;681,0;805,0;1
cust_253;237,0;976,0;1
cust_254;592,0;381,0;1
cust_255;239,0;911,0;1
cust_256;577,0;793,0;1
cust_257;749,0;816,0;1
cust_258;446,0;458,0;1
