Name;Latitude;Longitude;Capacity
facil_1;2,0;857,0;10000000000
facil_2;407,0;102,0;10000000000
facil_3;915,0;965,0;10000000000
facil_4;797,0;45,0;10000000000
facil_5;997,0;241,0;10000000000
facil_6;650,0;683,0;10000000000
facil_7;748,0;248,0;10000000000
facil_8;99,0;174,0;10000000000
facil_9;2,0;545,0;10000000000
facil_10;277,0;689,0;10000000000
facil_11;568,0;771,0;10000000000
facil_12;76,0;105,0;10000000000
facil_13;117,0;973,0;10000000000
facil_14;171,0;971,0;10000000000
facil_15;327,0;183,0;10000000000
facil_16;277,0;697,0;10000000000
facil_17;269,0;246,0;10000000000
facil_18;670,0;18,0;10000000000
facil_19;51,0;901,0;10000000000
facil_20;951,0;696,0;10000000000
facil_21;710,0;102,0;10000000000
facil_22;61,0;465,0;10000000000
facil_23;348,0;606,0;10000000000
facil_24;551,0;243,0;10000000000
facil_25;524,0;793,0;10000000000
facil_26;89,0;582,0;10000000000
facil_27;900,0;748,0;10000000000
facil_28;235,0;368,0;10000000000
facil_29;122,0;587,0;10000000000
facil_30;449,0;781,0;10000000000
facil_31;970,0;38,0;10000000000
facil_32;362,0;490,0;10000000000
facil_33;742,0;267,0;10000000000
facil_34;289,0;115,0;10000000000
facil_35;898,0;957,0;10000000000
facil_36;996,0;922,0;10000000000
facil_37;951,0;633,0;10000000000
facil_38;713,0;779,0;10000000000
facil_39;603,0;247,0;10000000000
facil_40;402,0;363,0;10000000000
facil_41;143,0;0,0;10000000000
facil_42;274,0;608,0;10000000000
facil_43;81,0;422,0;10000000000
facil_44;550,0;408,0;10000000000
facil_45;43,0;699,0;10000000000
facil_46;482,0;575,0;10000000000
facil_47;909,0;254,0;10000000000
facil_48;613,0;37,0;10000000000
facil_49;202,0;575,0;10000000000
facil_50;297,0;297,0;10000000000
facil_51;736,0;288,0;10000000000
facil_52;464,0;127,0;10000000000
facil_53;499,0;491,0;10000000000
facil_54;635,0;531,0;10000000000
facil_55;796,0;328,0;10000000000
facil_56;184,0;941,0;10000000000
facil_57;641,0;824,0;10000000000
facil_58;863,0;673,0;10000000000
facil_59;396,0;950,0;10000000000
facil_60;555,0;631,0;10000000000
facil_61;664,0;966,0;10000000000
facil_62;301,0;260,0;10000000000
facil_63;425,0;990,0;10000000000
facil_64;559,0;746,0;10000000000
facil_65;431,0;827,0;10000000000
facil_66;724,0;472,0;10000000000
facil_67;847,0;51,0;10000000000
facil_68;888,0;721,0;10000000000
facil_69;136,0;331,0;10000000000
facil_70;859,0;627,0;10000000000
facil_71;206,0;5,0;10000000000
facil_72;429,0;381,0;10000000000
facil_73;798,0;918,0;10000000000
facil_74;886,0;684,0;10000000000
facil_75;123,0;488,0;10000000000
facil_76;779,0;445,0;10000000000
facil_77;764,0;43,0;10000000000
facil_78;938,0;743,0;10000000000
facil_79;800,0;398,0;10000000000
facil_80;734,0;20,0;10000000000
facil_81;211,0;678,0;10000000000
facil_82;601,0;545,0;10000000000
facil_83;512,0;403,0;10000000000
facil_84;796,0;106,0;10000000000
facil_85;644,0;810,0;10000000000
facil_86;416,0;973,0;10000000000
facil_87;115,0;435,0;10000000000
facil_88;667,0;91,0;10000000000
facil_89;395,0;941,0;10000000000
facil_90;374,0;546,0;10000000000
facil_91;546,0;191,0;10000000000
facil_92;754,0;255,0;10000000000
facil_93;124,0;588,0;10000000000
facil_94;423,0;929,0;10000000000
facil_95;314,0;637,0;10000000000
facil_96;668,0;268,0;10000000000
facil_97;321,0;786,0;10000000000
facil_98;960,0;423,0;10000000000
facil_99;11,0;499,0;10000000000
facil_100;721,0;692,0;10000000000
facil_101;803,0;584,0;10000000000
facil_102;337,0;475,0;10000000000
facil_103;806,0;773,0;10000000000
facil_104;429,0;478,0;10000000000
facil_105;214,0;547,0;10000000000
facil_106;361,0;166,0;10000000000
facil_107;944,0;218,0;10000000000
facil_108;12,0;468,0;10000000000
facil_109;527,0;255,0;10000000000
facil_110;789,0;724,0;10000000000
facil_111;250,0;862,0;10000000000
facil_112;892,0;896,0;10000000000
facil_113;545,0;806,0;10000000000
facil_114;832,0;12,0;10000000000
facil_115;628,0;495,0;10000000000
facil_116;194,0;884,0;10000000000
facil_117;395,0;309,0;10000000000
facil_118;655,0;39,0;10000000000
facil_119;558,0;175,0;10000000000
facil_120;247,0;947,0;10000000000
facil_121;36,0;394,0;10000000000
facil_122;877,0;451,0;10000000000
facil_123;599,0;724,0;10000000000
facil_124;83,0;489,0;10000000000
facil_125;754,0;703,0;10000000000
facil_126;65,0;35,0;10000000000
facil_127;889,0;230,0;10000000000
facil_128;938,0;307,0;10000000000
facil_129;662,0;394,0;10000000000
facil_130;248,0;220,0;10000000000
facil_131;642,0;549,0;10000000000
facil_132;747,0;86,0;10000000000
facil_133;201,0;643,0;10000000000
facil_134;400,0;574,0;10000000000
facil_135;653,0;798,0;10000000000
facil_136;653,0;904,0;10000000000
facil_137;643,0;138,0;10000000000
facil_138;951,0;307,0;10000000000
facil_139;793,0;865,0;10000000000
facil_140;500,0;726,0;10000000000
facil_141;585,0;586,0;10000000000
facil_142;285,0;769,0;10000000000
facil_143;511,0;898,0;10000000000
facil_144;336,0;912,0;10000000000
facil_145;454,0;207,0;10000000000
facil_146;239,0;951,0;10000000000
facil_147;335,0;815,0;10000000000
facil_148;911,0;708,0;10000000000
facil_149;2,0;239,0;10000000000
facil_150;602,0;984,0;10000000000
facil_151;372,0;799,0;10000000000
facil_152;177,0;756,0;10000000000
facil_153;816,0;435,0;10000000000
facil_154;617,0;639,0;10000000000
facil_155;806,0;796,0;10000000000
facil_156;793,0;584,0;10000000000
facil_157;803,0;561,0;10000000000
facil_158;479,0;831,0;10000000000
facil_159;397,0;20,0;10000000000
facil_160;618,0;113,0;10000000000
facil_161;702,0;902,0;10000000000
facil_162;838,0;111,0;10000000000
facil_163;989,0;451,0;10000000000
facil_164;215,0;154,0;10000000000
facil_165;581,0;757,0;10000000000
facil_166;294,0;174,0;10000000000
facil_167;997,0;332,0;10000000000
facil_168;350,0;909,0;10000000000
facil_169;335,0;941,0;10000000000
facil_170;906,0;354,0;10000000000
facil_171;920,0;675,0;10000000000
facil_172;493,0;469,0;10000000000
facil_173;187,0;284,0;10000000000
facil_174;678,0;127,0;10000000000
facil_175;831,0;755,0;10000000000
facil_176;316,0;319,0;10000000000
facil_177;188,0;134,0;10000000000
facil_178;73,0;608,0;10000000000
facil_179;884,0;613,0;10000000000
facil_180;193,0;831,0;10000000000
facil_181;717,0;851,0;10000000000
facil_182;508,0;52,0;10000000000
facil_183;809,0;556,0;10000000000
facil_184;705,0;769,0;10000000000
facil_185;983,0;312,0;10000000000
facil_186;847,0;359,0;10000000000
facil_187;415,0;658,0;10000000000
facil_188;132,0;789,0;10000000000
facil_189;520,0;413,0;10000000000
facil_190;913,0;564,0;10000000000
facil_191;90,0;256,0;10000000000
facil_192;960,0;936,0;10000000000
facil_193;693,0;559,0;10000000000
facil_194;980,0;347,0;10000000000
facil_195;300,0;456,0;10000000000
facil_196;376,0;144,0;10000000000
facil_197;192,0;177,0;10000000000
facil_198;272,0;525,0;10000000000
facil_199;88,0;626,0;10000000000
facil_200;772,0;743,0;10000000000
facil_201;540,0;206,0;10000000000
facil_202;474,0;559,0;10000000000
facil_203;575,0;901,0;10000000000
facil_204;241,0;949,0;10000000000
facil_205;583,0;602,0;10000000000
facil_206;215,0;48,0;10000000000
facil_207;460,0;683,0;10000000000
facil_208;81,0;368,0;10000000000
facil_209;998,0;835,0;10000000000
facil_210;585,0;234,0;10000000000
facil_211;522,0;137,0;10000000000
facil_212;294,0;501,0;10000000000
facil_213;788,0;392,0;10000000000
facil_214;621,0;498,0;10000000000
facil_215;116,0;698,0;10000000000
facil_216;81,0;236,0;10000000000
facil_217;788,0;277,0;10000000000
facil_218;817,0;861,0;10000000000
facil_219;678,0;560,0;10000000000
facil_220;351,0;354,0;10000000000
facil_221;156,0;507,0;10000000000
facil_222;617,0;486,0;10000000000
facil_223;218,0;189,0;10000000000
facil_224;213,0;23,0;10000000000
facil_225;884,0;616,0;10000000000
facil_226;923,0;177,0;10000000000
facil_227;829,0;814,0;10000000000
facil_228;479,0;307,0;10000000000
facil_229;285,0;153,0;10000000000
facil_230;584,0;878,0;10000000000
facil_231;176,0;928,0;10000000000
facil_232;166,0;656,0;10000000000
facil_233;507,0;183,0;10000000000
facil_234;907,0;171,0;10000000000
facil_235;7,0;792,0;10000000000
facil_236;995,0;412,0;10000000000
facil_237;22,0;787,0;10000000000
facil_238;149,0;784,0;10000000000
facil_239;649,0;933,0;10000000000
facil_240;885,0;309,0;10000000000
facil_241;131,0;560,0;10000000000
facil_242;22,0;81,0;10000000000
facil_243;502,0;640,0;10000000000
facil_244;462,0;970,0;10000000000
facil_245;465,0;114,0;10000000000
facil_246;192,0;569,0;10000000000
facil_247;547,0;473,0;10000000000
facil_248;557,0;408,0;10000000000
facil_249;480,0;579,0;10000000000
facil_250;775,0;395,0;10000000000
facil_251;845,0;753,0;10000000000
facil_252;701,0;529,0;10000000000
facil_253;962,0;95,0;10000000000
facil_254;842,0;847,0;10000000000
facil_255;31,0;68,0;10000000000
facil_256;627,0;629,0;10000000000
facil_257;524,0;322,0;10000000000
facil_258;918,0;853,0;10000000000
facil_259;823,0;774,0;10000000000
facil_260;775,0;894,0;10000000000
facil_261;109,0;935,0;10000000000
facil_262;478,0;480,0;10000000000
facil_263;511,0;488,0;10000000000
facil_264;785,0;899,0;10000000000
facil_265;487,0;121,0;10000000000
facil_266;453,0;440,0;10000000000
facil_267;470,0;598,0;10000000000
facil_268;1,0;111,0;10000000000
facil_269;756,0;89,0;10000000000
facil_270;728,0;583,0;10000000000
facil_271;647,0;753,0;10000000000
facil_272;973,0;391,0;10000000000
facil_273;842,0;559,0;10000000000
facil_274;637,0;397,0;10000000000
facil_275;72,0;370,0;10000000000
facil_276;948,0;485,0;10000000000
facil_277;999,0;268,0;10000000000
facil_278;471,0;517,0;10000000000
facil_279;350,0;131,0;10000000000
facil_280;381,0;534,0;10000000000
facil_281;310,0;467,0;10000000000
facil_282;973,0;212,0;10000000000
facil_283;164,0;485,0;10000000000
facil_284;429,0;565,0;10000000000
facil_285;186,0;426,0;10000000000
facil_286;838,0;897,0;10000000000
facil_287;779,0;143,0;10000000000
facil_288;452,0;1,0;10000000000
facil_289;866,0;928,0;10000000000
facil_290;214,0;623,0;10000000000
facil_291;532,0;586,0;10000000000
facil_292;513,0;152,0;10000000000
facil_293;915,0;772,0;10000000000
facil_294;204,0;585,0;10000000000
facil_295;343,0;558,0;10000000000
facil_296;877,0;720,0;10000000000
facil_297;730,0;272,0;10000000000
facil_298;364,0;617,0;10000000000
facil_299;210,0;569,0;10000000000
facil_300;514,0;296,0;10000000000
facil_301;33,0;761,0;10000000000
facil_302;202,0;695,0;10000000000
facil_303;706,0;395,0;10000000000
facil_304;597,0;866,0;10000000000
facil_305;376,0;83,0;10000000000
facil_306;679,0;434,0;10000000000
facil_307;483,0;578,0;10000000000
facil_308;0,0;299,0;10000000000
facil_309;639,0;101,0;10000000000
facil_310;709,0;590,0;10000000000
facil_311;774,0;925,0;10000000000
facil_312;804,0;864,0;10000000000
facil_313;528,0;192,0;10000000000
facil_314;660,0;561,0;10000000000
facil_315;888,0;7,0;10000000000
facil_316;788,0;712,0;10000000000
facil_317;79,0;750,0;10000000000
facil_318;854,0;884,0;10000000000
facil_319;710,0;665,0;10000000000
facil_320;939,0;390,0;10000000000
